"","Year","FSB","FSB_lowCI","FSB_hiCI","totBIOMASS","totBIOMASS_loCI","totBIOMASS_hiCI","REC","REC_loCI","REC_hiCI"
"1",1961,369856.573,302739.4,438782.45,605882.528,503350.5,711298.4,310642549,196204150,477959250
"2",1962,364312.272,298199.95,430981.95,605720.894,504414.4,711574.85,302390482,160279700,492846600
"3",1963,358373.83,295031.9,423411.65,605093.594,506242.2,705015.55,276168466,166860450,457328700
"4",1964,352826,291724.6,416554.3,605701.444,503638.6,695797.5,303325228,156783450,545814450
"5",1965,349048.826,290522.75,411965.75,602736.733,501185.55,683075.25,231337810,127801850,368942000
"6",1966,348908.619,289893.55,412525.45,598038.996,489944.25,675179.65,235481098.6,120676500,373933900
"7",1967,348996.351,287396.3,410117.2,592543.398,482318.9,671547.2,288790132.2,152988000,518535950
"8",1968,349062.678,287266.5,405801.5,584726.917,474769.7,666224.85,221175266.1,131995050,389211100
"9",1969,348360.582,285153.05,399251.7,580959.183,474327.85,668572.45,313256213.1,135879150,605418150
"10",1970,347034.587,282616.55,392036.8,578849.06,471826,669148.1,295829708,144137800,469995800
"11",1971,343660.367,279421.2,391098.25,578443.322,472031.65,671814.1,311761166,173418000,503492550
"12",1972,339470.445,274627.6,387247.45,584885.658,483932.35,674509.55,401454697,240524850,575022050
"13",1973,332969.702,268279.45,383693.2,596640.399,501907.7,684894.55,488175605,298509750,795508800
"14",1974,323169.57,257707.7,377043.1,610677.576,529323.15,699483,511705749,307630450,789565300
"15",1975,319926.115,256996.8,378339.8,637999.954,565426.9,727707.2,552712938,248098700,937660650
"16",1976,321450.24,260829.65,381197.7,672817.643,608305.05,763884.8,558561970,338364950,901874800
"17",1977,326259.066,266714.05,383082.45,728160.057,657786.85,817152.4,895317968,568408350,1280494500
"18",1978,331214.352,276217.95,387519.55,788266.339,717853.5,867467.9,881344972,503052850,1281449500
"19",1979,344549.804,297913.05,400347,864701.075,788524,956599.95,994076698,657856300,1431830000
"20",1980,364973.079,322162.9,422162,933220.337,848005.7,1033588,650340536,440286300,1028611500
"21",1981,390127.387,345577.25,447256.6,997600.436,909175.35,1108561.5,697317672,383506350,1006047000
"22",1982,422499.423,375840.95,479483.1,1038750.814,944429.3,1162966,366799943,238193350,599960250
"23",1983,468214.979,420289.85,522592.9,1082360.255,977062.95,1217973,693296673,488442000,1035713500
"24",1984,522248.782,469846.6,586871.55,1121059.704,1021484.5,1261901.5,730939087,434887950,1034340000
"25",1985,578714.57,518608.75,652705.65,1170262.3,1065187.5,1318112.5,926407999,694274800,1221543500
"26",1986,626219.584,567235.2,706470.05,1236385.1,1146912,1375118.5,1133766573,674595400,1626365000
"27",1987,658463.625,594044.85,742421.25,1301291.41,1224984,1424451.5,917912452,582264100,1440805500
"28",1988,674266.288,605193.55,762338.45,1363601.51,1295776.5,1458494,950881337,561548750,1448521000
"29",1989,687691.201,619821.65,780665.75,1434007.13,1358855.5,1514162,1124137404,753671350,1535681500
"30",1990,711185.984,646112.15,805384.1,1504308.85,1428963.5,1581841,1019085955,647565900,1439083000
"31",1991,742038.64,683722.45,831869.15,1576081.84,1502716,1656556.5,1195623185,729320600,1672207500
"32",1992,781374.753,734443.4,857521.7,1630626.28,1561129,1717848,864519048,486672700,1402200500
"33",1993,818098.98,776232.5,871897.85,1665283.44,1589289,1755759.5,783478325,449489750,1079173500
"34",1994,852823.019,802901.5,903079.7,1682752.2,1598686.5,1782680.5,680151496,400327000,1067019000
"35",1995,882016.68,828963.5,942981.6,1683335.4,1596612,1793740,777811873,507407700,1048782500
"36",1996,915879.419,863601.95,977683.65,1679446.66,1580937,1807510,734848800,386716350,1095366500
"37",1997,943839.55,891746.05,1007878.5,1672591.02,1559537.5,1798562,870288220,566751100,1242948500
"38",1998,965667.036,903052.15,1034710,1690966.43,1576678,1825499.5,1241681626,764844950,1673237500
"39",1999,974568.01,907464.5,1051773,1726088.01,1608633,1869703,1262566076,877532600,1752069500
"40",2000,967665.271,901736.15,1052593,1772064.72,1659145.5,1912892,1345239608,995419500,2011275000
"41",2001,950142.768,879820.75,1035568.5,1819776.32,1695514,1949217.5,1316723961,673299750,2259398000
"42",2002,938457.333,864503.9,1024716,1867693.53,1717819.5,1997569,1113208774,643784200,1778117000
"43",2003,937527.495,858833.6,1023825,1902076.2,1741734,2026471.5,908002758,582720900,1222524000
"44",2004,947196.313,870894.3,1035803.5,1921978.82,1781562.5,2040511,1024884244,612789600,1609592500
"45",2005,986013.756,915245.95,1072804,1948266.39,1826639,2060884.5,972052460,620291050,1373553500
"46",2006,1029388.132,955203.55,1122390,1964145.01,1859817.5,2067049,1000744795,698248850,1348334500
"47",2007,1063819.255,975853.7,1150419,1948694.49,1843562,2049947.5,668270084,272126800,984558700
"48",2008,1089110.392,990242.6,1173280.5,1913476.18,1820732,2007097.5,507661491,264762200,821623850
"49",2009,1096989.466,996694.1,1174633,1853758.16,1773765,1940526.5,415260839,223397800,656653850
"50",2010,1098611.545,1022983,1162562.5,1784400.46,1709288.5,1864128,439503298,233613500,646050150
"51",2011,1096358.91,1036519,1155433.5,1720699.42,1659347.5,1793758,702761185,479555300,914699150
"52",2012,1079482.598,1013448,1138512,1652665.96,1600527,1721116.5,706533525,517200050,934894500
"53",2013,1056792.399,992875.25,1111685.5,1601706.6,1551363,1662556,707326011,351485000,994702400
"54",2014,1015375.335,963726.45,1068595.5,1549169.48,1499916.5,1606011.5,572318063,339266300,865981900
"55",2015,950174.892,911199.9,998336.6,1473237.7,1420549,1531103,359287381,162570300,618616200
"56",2016,900645.807,870300.45,946393.35,1423624.7,1367197.5,1483950.5,594991811,328023300,891745150
"57",2017,860961.302,830376.7,902063.8,1375884.53,1317837.5,1444691.5,558910765.4,159901700,1401489000
"58",2018,827336.889,794530.55,862299.65,1344062.55,1251649.5,1455280,911074484.7,148174050,2823406000
"59",2019,805013.988,770055.4,841892.35,1310986.97,1195878,1468131.5,4.36e+08,4.36e+08,4.36e+08
