"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2024,0.143477,0.143477,0.143477,0.143477,0.143477,0.143477,0.143477
"2",2025,0.467021,0.467021,0.309931,0.0840785,0,0.612146,0.467021
"3",2026,0.461374,0.461374,0.327168,0.0979666,0,0.569799,0.461374
"4",2027,0.484074,0.484074,0.353087,0.112965,0,0.588308,0.634498
"5",2028,0.544198,0.544198,0.398682,0.131885,0,0.663026,0.678122
"6",2029,0.627303,0.627303,0.459173,0.154623,0,0.766584,0.76947
"7",2030,0.704893,0.704893,0.518173,0.15911,0,0.858826,0.858288
"8",2031,0.752871,0.752871,0.559039,0.15911,0,0.910531,0.909905
"9",2032,0.771217,0.771217,0.578788,0.15911,0,0.926372,0.926169
"10",2033,0.774235,0.774235,0.584984,0.15911,0,0.926849,0.926838
"11",2034,0.773239,0.773239,0.585733,0.15911,0,0.925013,0.925031
"12",2035,0.772345,0.772345,0.585255,0.15911,0,0.924162,0.924171
"13",2036,0.772036,0.772036,0.584868,0.15911,0,0.924018,0.92402
"14",2037,0.771996,0.771996,0.584704,0.15911,0,0.924056,0.924055
"15",2038,0.772015,0.772015,0.584661,0.15911,0,0.924089,0.924088
"16",2039,0.772028,0.772028,0.584656,0.15911,0,0.924098,0.924098
