"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2025,24339.05,0.220785388045011,110238.5,44095.4,38583.5,0.467021,0.612146,11992.9,15132.4
"2",2026,24071.35,0.218357016831688,110238.5,44095.4,38583.5,0.461374,0.604744,11669.2,14719.1
