"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Hake",8023.59875758525,5162.36805661672,4264.6113850675,3974.46634599544,4219.88913932963,4704.8637579272,4839.67418038741,5984.82726964797,7240.75522594351,6032.13922846965,6199.61164843225,5913.91213428253,4994.03027792316,4680.93850889187,4551.27431958628,4414.13021480757,3802.60318992575,3516.0510695037,3949.20949126904,11047.5755838072,21927.1106847736,35212.4765272687,49396.8614342854,63332.4998642419,76243.548042795,87665.3653845184,97244.9649803767,104423.813404747,103989.574566685,103634.085426474,103343.064638531,103104.820795234,102909.782738775,102750.115051499,102619.403277485,102512.396229549,102424.795029167,102353.080404228,102294.371306548,102246.309169247,102206.963154178,102174.752582847,102148.383434572,102126.796360762,102109.124126876,102094.656772326,102082.813088668,102073.117270257,102065.179799335,102058.681797623,102053.362215771,102049.007346025,102045.442236767
"Sardine",125842.490176006,152766.300310086,143058.113699459,131485.464764584,167415.179205994,211862.503096456,298941.900658341,314610.907784945,275972.364674207,213443.050753824,202291.798266862,192975.423196256,159054.526321572,145133.898105299,146042.828348037,134872.235541373,116913.941315165,65886.211065605,80742.358072629,99049.2289536277,108983.924548562,114618.0561352,117987.970455157,119791.575238546,120756.878776207,121273.516860338,121550.025647016,121698.015335462,121777.220586585,121819.611863108,121842.300009408,121854.442884658,121860.941847483,121864.420143761,121866.281755425,121867.278104704,121867.811358714,121868.096760476,121868.249509755,121868.331262376,121868.375017026,121868.39843486,121868.41096827,121868.41767625,121868.421266414,121868.423187898,121868.424216292,121868.424766696,121868.425061277,121868.425218939,121868.425303321,121868.425348483,121868.425372654
"Anchovy",91550.8542316388,74462.2275439486,65776.3784096896,62092.8606044304,67032.9515624409,72558.341245715,70196.2627185262,65297.2103036259,62823.4341686983,62741.5689260648,66836.2157621329,65777.3442098076,66955.0513150871,75947.7213156561,78785.4167017603,95602.386318261,103381.622823544,89700.9385726226,108731.413575259,98356.5549286874,94266.0849585073,92640.8379714764,90158.4617955938,88622.5622433775,87672.2681431451,87084.3007362706,86720.5126506009,86495.4291345286,86356.1651201115,86269.999477909,86216.6869410901,86183.7013274578,86163.2924185665,86150.6649875059,86142.8521242099,86138.0181375826,86135.0272460456,86133.1767170979,86132.031755021,86131.3233423484,86130.8850321852,86130.6138402563,86130.4460479748,86130.3422312799,86130.277997657,86130.2382549324,86130.2136652536,86130.1984510902,86130.18903776,86130.1832135301,86130.1796099537,86130.1773803434,86130.1760008356
