"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Hake",157640.757440423,228358.620648189,253179.585422942,371969.26293489,286053.376745771,401839.220152093,614522.67900411,588206.449520041,419672.530912944,485502.913074012,253512.629830736,247178.852447406,235211.570898562,271175.48801676,218959.689687714,218868.059168879,169805.785631762,354471.572154851,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507,68269.0466438507
"Sardine",66226765.0753746,84260750.3717184,66255733.8618247,61990882.4375612,94050593.0778017,115380886.90385,169224519.11984,152778659.212009,118496270.357478,81956387.0540757,97203269.6663955,92424980.8818038,69752681.920052,71066477.7719809,75165252.9720588,63662088.3925332,50788376.2224001,17412999.1092168,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744,49328540.658744
"Anchovy",10414136.1534099,10062175.0550033,10478627.4585434,12642944.2565082,13523834.086198,11302410.2606636,10819138.98815,10133975.8712652,10552787.7397659,12141094.1396751,11688064.6694165,13182983.2962853,15894984.5954305,17770033.2245375,23522479.1784345,24592724.8201809,20254069.7305774,28166531.6319082,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661,10508066.9986661
