"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","Species"
"1",0.01323365,0.09420484,0.2178158,0.3644347,0.5218536,0.6820565,0.8397522,0.9915121,1.135207,1.269622,1.394183,1.591212,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",0.01323365,0.09420484,0.2178158,0.3644347,0.5218536,0.6820565,0.8397522,0.9915121,1.135207,1.269622,1.394183,1.591212,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",0.01328497,0.09551527,0.2218462,0.3722728,0.5342383,0.6994421,0.8623706,1.019426,1.168356,1.307854,1.437285,1.642365,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4",0.033100895,0.066656207,0.166706452,0.349858916,0.428903178,0.668601968,1.004004033,1.128289145,1.202165694,1.42047139,1.596711611,1.624236257,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5",0.016355544,0.105534746,0.169335828,0.360215774,0.493698617,0.575604904,0.739416154,1.068567323,1.144978292,1.013481003,1.100164466,1.148720722,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6",0.016883857,0.063485268,0.192720115,0.359340285,0.48533865,0.615640972,0.751300669,1.011331722,1.220037161,1.369225016,1.678785678,1.655990892,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7",0.021479455,0.083285653,0.174161756,0.397504222,0.489486182,0.628697924,0.960266215,1.009604982,1.365065616,1.064352834,1.377643078,1.770666603,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"8",0.017475295,0.083542698,0.145418765,0.358367918,0.46168194,0.642242442,0.719801217,0.843871819,0.99633442,1.355253246,1.471979708,1.470646244,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9",0.023808177,0.088149142,0.188452368,0.353319771,0.434168571,0.529975582,0.703008924,0.795125973,0.888000873,0.985676724,1.193588801,1.366767479,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10",0.020523869,0.080744929,0.209889932,0.356059693,0.459988975,0.521468189,0.601746891,0.760081641,0.851376405,0.992415861,1.200793264,1.209039547,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"11",0.021324417,0.070983801,0.173639278,0.370133679,0.440785838,0.533801998,0.628037142,0.683303465,0.934553106,0.928137358,1.048297562,1.065645514,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"12",0.018646957,0.086175315,0.155267975,0.376630035,0.502998962,0.573065432,0.61878238,0.722447488,0.795807281,1.050906191,1.105550683,1.128404805,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"13",0.018129024,0.084618179,0.150779099,0.364522084,0.485706217,0.579807724,0.696496698,0.743599516,0.877432425,0.917714398,1.095465403,1.201635194,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14",0.029397734,0.093277605,0.204827035,0.372941549,0.5223266,0.623252245,0.777587563,0.844403225,0.897453846,0.9878659,1.123186336,1.241156242,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15",0.017589953,0.075962075,0.253239201,0.452903338,0.5035147,0.562561154,0.66420421,0.805825543,0.977437066,1.026084363,1.147712858,1.263588525,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16",0.02131204,0.081219322,0.189872481,0.473711796,0.576308971,0.638193526,0.713080507,0.968809567,1.169829458,1.126339146,1.225640577,1.325960734,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"17",0.019005647,0.064109959,0.114268507,0.37727607,0.484794188,0.628588249,0.654719843,0.840168355,0.966614981,1.181282031,1.162954342,1.330113818,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"18",0.020296224,0.06590333,0.116458398,0.313454183,0.496986354,0.596229054,0.733046551,0.815006721,0.971352934,1.061775443,1.305521912,1.395108819,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"19",0.016721949,0.068575339,0.208396227,0.322454928,0.499243852,0.5976017,0.788666064,0.934216876,0.964378773,1.034581355,1.168606838,1.294899477,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"20",0.020776907,0.060226603,0.133614079,0.34060828,0.477037436,0.520075225,0.678592977,0.828826546,0.9104885,1.009523525,1.070591486,1.330857874,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"21",0.017588998,0.062357448,0.157038473,0.357022768,0.425320798,0.561484193,0.634271741,0.779640185,0.980835083,1.010687379,1.10134147,1.200302877,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
