"","Fishery_name","Fishery_code","Species","Year","Month","Sample_size","Comp_1","Comp_2","Comp_3","Comp_4","Comp_5","Comp_6","Comp_7","Comp_8","Comp_9","Comp_10","Comp_11","Comp_12","Comp_13","Comp_14","Comp_15","Comp_16","Comp_17","Comp_18","Comp_19","Comp_20","Comp_21","Comp_22","Comp_23","Comp_24","Comp_25"
"1","Pollock",1,1,1979,0,200,82971,444313,588930,343746,321153,176316,46046,21030,29351,22488,14414,9767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pollock",1,1,1980,0,200,10161,480923,856212,461236,262269,219432,87081,39105,22622,24878,26468,28435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Pollock",1,1,1981,0,200,655,83024,1164542,733539,261026,118296,59408,34033,18512,10750,8634,8142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Pollock",1,1,1982,0,200,4602,24560,156400,1135849,409190,100488,34858,34897,20859,8798,5250,5901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pollock",1,1,1983,0,200,5114,119598,159132,315652,823909,220127,41772,24930,19978,11195,7665,10629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pollock",1,1,1984,0,200,1966,42919,83019,403465,460657,612723,125385,33321,23506,14656,6650,8568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Pollock",1,1,1985,0,200,2504,52256,360967,115286,346292,304397,419635,106493,34631,24452,23506,27681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pollock",1,1,1986,0,200,2687,74815,80260,651084,186224,328860,192982,186362,51911,13205,2905,3512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Pollock",1,1,1987,0,200,0.001,21795,122851,85461,455340,152938,134876,99830,272284,59537,42616,70992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Pollock",1,1,1988,0,200,0.001,8931,380002,352898,211040,455651,188144,87837,32796,81016,15275,21478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Pollock",1,1,1989,0,200,0.001,4546,52597,142159,430396,159087,545947,91901,98996,30935,123102,22292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Pollock",1,1,1990,0,200,1429,35916,61995,238875,218459,519968,140627,400979,71510,110913,9839,89727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Pollock",1,1,1991,0,200,676.621,111787,39904,86511.9,139156,152795,386167,51933.4,218379,21789.4,114990,145388.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
