
Initial statistics: 69 variables; iteration 0; function evaluation 0; phase 1
Function value 4.1505200e+03; maximum gradient component mag -3.5204e+04
69 variables; iteration 73; function evaluation 100
Function value 2.2498e+03; maximum gradient component mag 3.0510e+03
Exit code = 3;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.88751  8.38470e+01 |  2 -0.01111  3.05103e+03 |  3 -0.41863  4.54055e+02
  4 -0.21128 -1.31599e+03 |  5 -0.03262  5.27487e+01 |  6  0.08618 -1.35289e+01
  7 -0.01005  2.54594e+01 |  8  0.05416  2.02314e+01 |  9 -0.02088 -4.45046e+01
 10 -0.01432  5.77916e+00 | 11 -0.06609 -4.59998e+01 | 12  0.10543 -2.55631e+01
 13  0.02187 -5.28639e+01 | 14  0.00406 -7.38392e+01 | 15  0.02035 -1.58508e+01
 16  0.01007 -3.19481e+01 | 17  0.02365 -6.95989e+01 | 18  0.02468 -1.09743e+02
 19  0.00696 -1.86282e+01 | 20 -0.03403  1.32502e+01 | 21 -0.05278  1.78710e+01
 22 -0.04138  2.01602e+01 | 23 -0.00768  6.81820e+01 | 24 -0.04096  5.75602e+01
 25 -0.05176  7.06807e+01 | 26 -0.06799  6.96524e+01 | 27 -0.01541  6.41136e+01
 28 -0.01963  4.38191e+01 | 29 -0.07843 -9.27172e+00 | 30 -0.09710  6.85920e+01
 31 -0.07265  7.71754e+01 | 32 -0.08150  6.08425e+01 | 33 -0.01060 -2.01588e+01
 34  0.03416 -6.46793e+01 | 35 -0.01888 -1.93592e+02 | 36  0.04767 -1.59379e+02
 37 -0.03938 -2.08496e+02 | 38  0.00037 -1.67513e+02 | 39  0.04060 -2.75988e+02
 40  0.11182 -1.73657e+02 | 41  0.04485 -3.14771e+02 | 42 -0.15172 -1.53019e+02
 43 -0.05906 -3.13187e+00 | 44 -0.09926 -3.92968e-01 | 45 -0.09182  2.26587e+01
 46 -0.14165 -3.12653e+00 | 47 -0.16774  9.49849e+00 | 48 -0.16950 -2.79535e-01
 49 -0.15609  2.37788e+01 | 50 -0.22578 -6.23478e+01 | 51 -0.06758  3.67628e-02
 52  0.00000  0.00000e+00 | 53  0.01208  1.27783e+02 | 54  0.00834  1.04547e+03
 55  0.02409 -2.36560e+01 | 56  0.22371  1.28457e+02 | 57  0.33820 -1.61389e+02
 58  0.17210 -3.73043e+01 | 59  0.23325 -8.94478e+01 | 60  0.48425 -3.56297e+01
 61  0.52423 -3.44459e+00 | 62  0.49395 -2.12661e+00 | 63  0.37061 -4.81519e+01
 64  0.29032 -1.11387e+01 | 65  0.38128 -5.83344e+01 | 66  0.36793  4.45813e+01
 67  0.44402  4.22311e+01 | 68  0.16058 -8.98306e+00 | 69  0.07352 -1.28961e+01

Initial statistics: 124 variables; iteration 0; function evaluation 0; phase 2
Function value 2.2497523e+03; maximum gradient component mag 3.0510e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.88751  8.38470e+01 |  2 -0.01111  3.05103e+03 |  3 -0.41863  4.54055e+02
  4 -0.21128 -1.31599e+03 |  5 -0.03262  5.27487e+01 |  6  0.00000  5.11523e+01
  7  0.00000  3.12560e+01 |  8  0.00000  3.92226e+01 |  9  0.00000  3.98949e+01
 10  0.00000  2.76346e+01 | 11  0.00000 -6.49174e+00 | 12  0.00000 -6.57488e+01
 13  0.00000 -2.89242e+01 | 14  0.00000  6.97886e+01 | 15  0.00000 -8.44224e+01
 16  0.00000 -3.66808e+02 | 17  0.08618 -1.35289e+01 | 18 -0.01005  2.54594e+01
 19  0.05416  2.02314e+01 | 20 -0.02088 -4.45046e+01 | 21 -0.01432  5.77916e+00
 22 -0.06609 -4.59998e+01 | 23  0.10543 -2.55631e+01 | 24  0.02187 -5.28639e+01
 25  0.00406 -7.38392e+01 | 26  0.02035 -1.58508e+01 | 27  0.01007 -3.19481e+01
 28  0.02365 -6.95989e+01 | 29  0.02468 -1.09743e+02 | 30  0.00696 -1.86282e+01
 31 -0.03403  1.32502e+01 | 32 -0.05278  1.78710e+01 | 33 -0.04138  2.01602e+01
 34 -0.00768  6.81820e+01 | 35 -0.04096  5.75602e+01 | 36 -0.05176  7.06807e+01
 37 -0.06799  6.96524e+01 | 38 -0.01541  6.41136e+01 | 39 -0.01963  4.38191e+01
 40 -0.07843 -9.27172e+00 | 41 -0.09710  6.85920e+01 | 42 -0.07265  7.71754e+01
 43 -0.08150  6.08425e+01 | 44 -0.01060 -2.01588e+01 | 45  0.03416 -6.46793e+01
 46 -0.01888 -1.93592e+02 | 47  0.04767 -1.59379e+02 | 48 -0.03938 -2.08496e+02
 49  0.00037 -1.67513e+02 | 50  0.04060 -2.75988e+02 | 51  0.11182 -1.73657e+02
 52  0.04485 -3.14771e+02 | 53 -0.15172 -1.53019e+02 | 54 -0.05906 -3.13187e+00
 55 -0.09926 -3.92968e-01 | 56 -0.09182  2.26587e+01 | 57 -0.14165 -3.12653e+00
 58 -0.16774  9.49849e+00 | 59 -0.16950 -2.79535e-01 | 60 -0.15609  2.37788e+01
 61 -0.22578 -6.23478e+01 | 62 -0.06758  3.67628e-02 | 63  0.00000  0.00000e+00
 64  0.01208  1.27783e+02 | 65  0.00834  1.04547e+03 | 66  0.02409 -2.36560e+01
 67  0.01786 -6.52122e-04 | 68  0.34008  7.85916e+01 | 69 -0.01921 -5.55624e-04
 70  0.22371  1.28457e+02 | 71 -0.00269 -1.56872e-04 | 72  0.34418 -2.01187e+02
 73  0.33820 -1.61389e+02 | 74 -0.31218  1.40677e-03 | 75  0.33453  7.49877e+02
 76 -0.12095  1.98985e+01 | 77  0.01814  5.09807e+01 | 78  0.17210 -3.73043e+01
 79 -0.30661 -2.40743e-03 | 80  0.37443  7.15262e+01 | 81  0.05394  6.63108e+00
 82  0.23325 -8.94478e+01 | 83 -0.33226  1.75902e-03 | 84  0.31014  3.01961e+02
 85 -0.04463  1.45420e+01 | 86 -0.02974 -3.48784e+01 | 87  0.48425 -3.56297e+01
 88  0.52423 -3.44459e+00 | 89  0.49395 -2.12661e+00 | 90  0.23603 -5.32657e-04
 91  0.00290  8.51338e-06 | 92  0.01024  1.89156e-04 | 93  0.00469 -1.88541e-04
 94  0.41163  4.48811e+02 | 95  0.43091  1.03727e+02 | 96  0.42975  8.22660e+02
 97  0.43342  1.88054e+03 | 98  0.01350 -3.39032e-05 | 99  0.02034  5.01408e-05
100  0.10218  9.82218e-04 |101  0.03354 -9.07221e-04 |102  0.37061 -4.81519e+01
103  0.29032 -1.11387e+01 |104  0.38128 -5.83344e+01 |105  0.36793  4.45813e+01
106  0.20628 -1.92589e-03 |107 -0.00451 -1.84547e-06 |108 -0.00486  5.86927e-06
109  0.01314 -8.62194e-05 |110  0.36022 -1.10746e+02 |111  0.35201  4.71925e+01
112  0.36638  4.64989e+02 |113  0.35967 -3.76907e+02 |114  0.44402  4.22311e+01
115  0.34840 -7.38099e-01 |116  0.36918 -6.63396e+01 |117  0.16058 -8.98306e+00
118  0.07352 -1.28961e+01 |119  0.03592 -8.56092e-05 |120  0.05366 -1.80566e-03
121  0.36860  1.12661e+01 |122  0.34026  1.17626e+01 |123  0.15682  1.74470e+02
124  0.16457  8.11930e+01 |

Intermediate statistics: 124 variables; iteration 20; function evaluation 23; phase 2
Function value 2.1776339e+03; maximum gradient component mag 3.4450e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.91163  5.41202e+01 |  2 -0.01144 -2.08937e+02 |  3 -0.42018  3.01435e+02
  4 -0.20682 -5.99100e+02 |  5 -0.02111  9.10673e+01 |  6 -0.02995  1.93970e+01
  7 -0.01871  1.27299e+01 |  8 -0.02132  1.32496e+01 |  9 -0.01838  1.07408e+01
 10 -0.00748  5.85225e+00 | 11  0.01633 -2.40465e+00 | 12  0.05722 -2.52142e+01
 13  0.02190  2.30886e+00 | 14 -0.03540  1.48299e+01 | 15  0.00992  1.62401e+01
 16  0.14380 -1.20992e+01 | 17  0.05256 -2.96240e+01 | 18  0.01473 -5.21802e+01
 19  0.08696  4.81049e+01 | 20  0.00435 -8.88378e+00 | 21 -0.01945 -1.73187e+01
 22 -0.03701 -3.98942e+01 | 23  0.09139 -5.79973e+01 | 24  0.02148 -5.97301e+01
 25  0.01115 -5.45157e+01 | 26  0.01533 -1.88095e+01 | 27  0.01378 -3.14695e+01
 28  0.01698 -7.94787e+01 | 29  0.03149 -9.53428e+01 | 30 -0.00116 -5.59799e+01
 31 -0.03691 -1.94291e+01 | 32 -0.05821  8.07640e+00 | 33 -0.03894  3.64839e+01
 34 -0.00820  5.00468e+01 | 35 -0.04300  3.68392e+01 | 36 -0.05504  4.56273e+01
 37 -0.06600  5.74826e+01 | 38 -0.01493  8.15419e+01 | 39 -0.01896  4.09977e+01
 40 -0.07828 -5.82198e+00 | 41 -0.09925  1.97352e+01 | 42 -0.07526  3.89204e+01
 43 -0.08228  1.41952e+01 | 44 -0.00777 -2.66004e+01 | 45  0.03064 -8.28389e+01
 46 -0.00878 -1.36110e+02 | 47  0.03790 -1.99432e+02 | 48 -0.02112 -1.11657e+02
 49 -0.01332 -1.43567e+02 | 50  0.05075 -7.64113e+01 | 51  0.11238  9.89190e+01
 52  0.04119 -1.02019e+02 | 53 -0.09969 -4.62059e+01 | 54 -0.06895  2.18106e+00
 55 -0.09313 -2.02900e+01 | 56 -0.08880 -2.30224e+01 | 57 -0.13483 -2.25291e+01
 58 -0.15580  3.15945e+00 | 59 -0.14950  4.07079e+00 | 60 -0.12621  1.96988e+01
 61 -0.16578 -3.79985e+01 | 62 -0.05431 -8.03226e+00 | 63  0.00000  0.00000e+00
 64  0.00655 -6.38798e+02 | 65  0.00979  3.44500e+03 | 66  0.01137  3.65067e+00
 67  0.01786 -1.33621e-03 | 68  0.33639  1.50457e+00 | 69 -0.01921 -8.90612e-04
 70  0.18456  2.83124e+02 | 71 -0.00269 -1.47598e-04 | 72  0.32763 -5.39509e+02
 73  0.33899 -5.37826e+01 | 74 -0.31218  1.13498e-03 | 75  0.33431  4.58035e+02
 76 -0.12530  1.46458e+01 | 77  0.01049  4.58079e+01 | 78  0.17459 -1.27163e+01
 79 -0.30661 -2.48729e-03 | 80  0.37174  1.93953e+01 | 81  0.05494 -2.02541e+00
 82  0.23532 -2.05465e+01 | 83 -0.33226  6.63543e-03 | 84  0.30918  1.08749e+02
 85 -0.05444  5.85907e+01 | 86 -0.02844  7.84314e+01 | 87  0.46141 -3.87487e+02
 88  0.51579  2.42453e+01 | 89  0.41882  1.73568e+01 | 90  0.23603 -4.10385e-04
 91  0.00290  9.67800e-06 | 92  0.01023  2.76172e-04 | 93  0.00469 -1.10243e-04
 94  0.41153  2.03747e+03 | 95  0.42641 -8.27571e+01 | 96  0.41523  2.45935e+02
 97  0.42217  4.77897e+02 | 98  0.01350 -3.20160e-05 | 99  0.02034  5.48521e-05
100  0.10218  1.47443e-03 |101  0.03354 -4.38488e-04 |102  0.39243  1.91058e+02
103  0.28768 -5.62424e+01 |104  0.36549 -4.45575e+02 |105  0.39986  3.79829e+01
106  0.20628 -5.68140e-04 |107 -0.00451 -6.31701e-06 |108 -0.00486 -1.14687e-05
109  0.01314 -5.25295e-05 |110  0.36467 -6.63781e+02 |111  0.35461  1.62976e+02
112  0.36607  1.67280e+03 |113  0.36928 -2.08838e+02 |114  0.42111 -1.63280e+02
115  0.34899 -8.29641e-01 |116  0.36710  6.13085e+02 |117  0.16825 -5.81447e+00
118  0.08472  7.54544e+01 |119  0.03592 -1.97764e-05 |120  0.05366 -1.51706e-03
121  0.38286 -1.79378e+01 |122  0.34352 -1.26217e+02 |123  0.12012  1.33321e+01
124  0.15268 -2.38536e+01 |
124 variables; iteration 40; function evaluation 44; phase 2
Function value 2.1687574e+03; maximum gradient component mag 3.4995e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.92971  4.56596e+01 |  2 -0.01144 -1.71650e+02 |  3 -0.41996  3.70018e+02
  4 -0.23122 -3.94829e+02 |  5 -0.01093  4.90981e+01 |  6 -0.04067  1.00869e+01
  7 -0.02849  5.74235e+00 |  8 -0.02414  8.42591e+00 |  9 -0.01146  1.00235e+01
 10  0.00390  8.62188e+00 | 11  0.01308  2.29070e+00 | 12  0.09600 -6.55028e+00
 13 -0.00264 -9.88272e+00 | 14 -0.01730  1.20823e+01 | 15 -0.00873 -7.13554e+00
 16  0.17313  4.88867e+00 | 17  0.06310  1.02282e+01 | 18  0.07100  7.81437e+00
 19  0.08373 -2.27299e+01 | 20  0.02777 -3.80533e+01 | 21 -0.01556 -1.74110e+01
 22 -0.00228 -1.65947e+01 | 23  0.11633 -3.03665e+01 | 24  0.04708 -3.28569e+01
 25  0.03412 -4.67386e+01 | 26  0.03615 -4.00263e+01 | 27  0.03514 -4.27692e+01
 28  0.04169 -4.94680e+01 | 29  0.05754 -3.76521e+01 | 30  0.02243 -1.70355e+01
 31 -0.01257  4.37614e+00 | 32 -0.03281  2.33116e+01 | 33 -0.01698  2.72350e+01
 34  0.01348  9.72281e-01 | 35 -0.02045  8.64159e-01 | 36 -0.03269  1.40537e+01
 37 -0.04319  1.56964e+01 | 38  0.00642  1.68621e+01 | 39  0.00412  1.24113e+01
 40 -0.05695  1.08572e+01 | 41 -0.07264  5.72432e+01 | 42 -0.05310  6.57204e+01
 43 -0.05711  4.98004e+01 | 44  0.01676  4.35270e+01 | 45  0.05557 -2.64007e+01
 46  0.01445 -9.38224e+01 | 47  0.06235 -2.31529e+02 | 48 -0.01091 -1.70796e+02
 49  0.01436 -1.37064e+02 | 50  0.07165 -1.19041e+01 | 51  0.13963  2.83556e+02
 52  0.06730  8.07436e+00 | 53 -0.07419 -3.33083e+01 | 54 -0.04908  1.90690e+00
 55 -0.06586 -1.13341e+01 | 56 -0.06495  4.22929e+00 | 57 -0.10747 -1.69836e+01
 58 -0.13229 -6.22397e+00 | 59 -0.12291 -1.15934e+01 | 60 -0.10649  1.28382e+01
 61 -0.11433 -8.90858e+00 | 62 -0.01091  7.28627e+00 | 63  0.00000  0.00000e+00
 64  0.00917 -5.42418e+02 | 65  0.00976  3.49946e+03 | 66  0.00487  4.52017e+01
 67  0.01788 -1.36273e-03 | 68  0.33252 -6.37654e+01 | 69 -0.01920 -7.97999e-04
 70  0.15600  1.89780e+02 | 71 -0.00269 -1.63569e-04 | 72  0.31559 -4.09779e+02
 73  0.34027 -5.13446e+00 | 74 -0.31217  1.99867e-03 | 75  0.33479  4.34036e+02
 76 -0.12653  1.85325e+01 | 77  0.00956  4.72957e+01 | 78  0.17563 -7.59297e+00
 79 -0.30659 -2.13703e-03 | 80  0.37051  1.18998e+01 | 81  0.05432 -9.98944e-01
 82  0.23532 -3.96787e+01 | 83 -0.33226  6.37895e-03 | 84  0.30914  1.17363e+02
 85 -0.06431  5.43059e+01 | 86 -0.02597  8.34647e+01 | 87  0.46232 -3.69473e+02
 88  0.47525 -6.43674e+01 | 89  0.40668 -1.40960e+01 | 90  0.23603 -4.78101e-04
 91  0.00290 -5.93776e-07 | 92  0.01023  2.82261e-04 | 93  0.00469 -1.05091e-04
 94  0.41160  1.96705e+03 | 95  0.42889  4.04080e+02 | 96  0.41312  3.13600e+02
 97  0.42238  5.15068e+02 | 98  0.01350 -3.55919e-05 | 99  0.02034 -1.98020e-05
100  0.10216  1.53811e-03 |101  0.03354 -4.03777e-04 |102  0.38355  1.79255e+02
103  0.28685 -4.25614e-01 |104  0.36607 -4.38143e+02 |105  0.41592  1.54528e+02
106  0.20629 -8.05867e-04 |107 -0.00451 -1.84752e-06 |108 -0.00486 -9.11208e-06
109  0.01314 -2.93432e-05 |110  0.36204 -6.87215e+02 |111  0.34988  5.20959e+00
112  0.36619  1.67037e+03 |113  0.37147 -5.84500e+02 |114  0.42125 -1.20220e+02
115  0.35590 -6.92047e-01 |116  0.36632  4.60351e+02 |117  0.21701  1.88112e+01
118  0.14502  6.98469e+01 |119  0.03592  5.82987e-04 |120  0.05366  6.49041e-04
121  0.40393 -2.20394e+01 |122  0.38030 -9.24748e+01 |123  0.11098  2.75726e+01
124  0.13182 -5.45970e+01 |
124 variables; iteration 60; function evaluation 65; phase 2
Function value 2.1377608e+03; maximum gradient component mag 2.1962e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.97515  8.74432e+00 |  2 -0.01142  6.10771e+01 |  3 -0.42078  2.19625e+02
  4 -0.22623 -7.37742e+01 |  5 -0.00563  5.58683e+01 |  6 -0.06760 -2.86029e+00
  7 -0.05084 -4.02642e+00 |  8 -0.04423 -1.83849e+00 |  9 -0.03262 -2.04086e+00
 10 -0.02612 -5.91322e+00 | 11  0.01856  3.48859e+00 | 12  0.08722  3.23470e+00
 13 -0.00334 -6.58337e+00 | 14 -0.05128 -6.06367e+00 | 15  0.00500  6.02769e+00
 16  0.17108 -2.16873e+00 | 17  0.05891 -7.03689e+00 | 18  0.06350 -1.46015e+01
 19  0.08760 -1.31637e+01 | 20  0.02378 -2.35607e+01 | 21 -0.00880 -3.43182e+00
 22 -0.01225 -1.55992e+01 | 23  0.11767 -2.96298e+00 | 24  0.05327  7.60916e+00
 25  0.02979 -1.02467e+01 | 26  0.04138 -2.54005e+00 | 27  0.03629 -1.78038e+01
 28  0.04097 -3.58156e+01 | 29  0.05805 -6.75305e+00 | 30  0.02298  3.56564e+01
