
Initial statistics: 69 variables; iteration 0; function evaluation 0; phase 1
Function value 4.1505200e+03; maximum gradient component mag -3.5204e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.53444 -5.79535e+02 |  2 -0.01142 -6.76265e+03 |  3 -0.42762 -2.33705e+04
  4 -0.24057 -3.52043e+04 |  5 -0.03336  7.32071e+02 |  6  0.00000 -3.55070e+02
  7  0.00000 -2.00206e+02 |  8  0.00000 -2.39488e+02 |  9  0.00000 -2.45276e+02
 10  0.00000 -1.74122e+02 | 11  0.00000 -4.62473e+02 | 12  0.00000 -7.52375e+02
 13  0.00000 -9.55731e+02 | 14  0.00000 -9.65231e+02 | 15  0.00000 -8.42517e+02
 16  0.00000 -9.22202e+02 | 17  0.00000 -1.03028e+03 | 18  0.00000 -1.12912e+03
 19  0.00000 -7.31850e+02 | 20  0.00000 -6.93081e+01 | 21  0.00000  3.25798e+02
 22  0.00000  3.32432e+02 | 23  0.00000  6.05772e+01 | 24  0.00000  4.00704e+02
 25  0.00000  7.66265e+02 | 26  0.00000  8.36822e+02 | 27  0.00000  1.47616e+02
 28  0.00000 -8.76866e+01 | 29  0.00000  4.42447e+02 | 30  0.00000  1.08747e+03
 31  0.00000  8.92535e+02 | 32  0.00000  4.43767e+02 | 33  0.00000 -1.01122e+03
 34  0.00000 -2.31143e+03 | 35  0.00000 -2.46140e+03 | 36  0.00000 -3.11343e+03
 37  0.00000 -3.27807e+03 | 38  0.00000 -3.96670e+03 | 39  0.00000 -5.81310e+03
 40  0.00000 -7.69968e+03 | 41  0.00000 -6.39077e+03 | 42  0.00000 -2.38990e+03
 43  0.00000  6.15862e+01 | 44  0.00000  5.35988e+02 | 45  0.00000  6.97549e+02
 46  0.00000  8.40965e+02 | 47  0.00000  9.06149e+02 | 48  0.00000  5.33168e+02
 49  0.00000  2.60124e+02 | 50  0.00000  1.44857e+02 | 51  0.00000  2.09432e+01
 52  0.00000  0.00000e+00 | 53  0.00645  1.00839e+03 | 54  0.00733 -8.92864e+03
 55  0.03758 -1.80207e+02 | 56  0.26938  9.73357e+02 | 57  0.34680 -1.00684e+03
 58  0.16456 -8.78381e+01 | 59  0.25410  2.80235e+03 | 60  0.50786 -5.24882e+02
 61  0.68429  1.01631e+02 | 62  0.53761  3.77481e+02 | 63  0.36827 -7.65406e+02
 64  0.30543 -7.20260e+01 | 65  0.38123  2.22783e+02 | 66  0.36978 -1.54099e+03
 67  0.44972 -1.04876e+03 | 68  0.16029 -1.95706e+02 | 69  0.10467 -1.98621e+02

Intermediate statistics: 69 variables; iteration 20; function evaluation 29; phase 1
Function value 2.5318843e+03; maximum gradient component mag -2.0518e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.67529  9.88109e+02 |  2 -0.01382 -2.05181e+04 |  3 -0.42770  1.18218e+04
  4 -0.21592  1.46483e+03 |  5 -0.00238  4.06078e+02 |  6  0.14984  3.50355e+01
  7 -0.01473  9.44545e+00 |  8  0.09552  5.49691e+01 |  9  0.03130  2.90778e+01
 10  0.01095  8.01291e+01 | 11  0.03233  9.89823e+01 | 12  0.08546  1.14447e+02
 13  0.05333  7.58586e+01 | 14  0.02405  4.74392e+01 | 15  0.03613  9.33548e+01
 16  0.03383  1.00553e+02 | 17  0.03668  9.53258e+01 | 18  0.04817  8.46611e+01
 19  0.01491  1.09221e+02 | 20 -0.01629  1.88832e+02 | 21 -0.02836  2.57644e+02
 22 -0.01841  2.91675e+02 | 23  0.00279  2.62839e+02 | 24 -0.02341  2.45050e+02
 25 -0.04071  2.33448e+02 | 26 -0.04890  2.51077e+02 | 27 -0.00695  1.78346e+02
 28 -0.01590  9.38726e+01 | 29 -0.06956  1.23095e+02 | 30 -0.08108  2.95881e+02
 31 -0.06285  3.18166e+02 | 32 -0.05572  3.75965e+02 | 33  0.00102  1.80692e+02
 34  0.03878  3.79359e-01 | 35  0.00822  9.44526e+01 | 36  0.07018  1.31660e+02
 37 -0.04525 -2.63218e+02 | 38  0.02489 -3.73295e+02 | 39  0.00473 -5.57312e+02
 40  0.16496 -8.42127e+02 | 41 -0.07925 -9.84326e+02 | 42 -0.21215 -3.82863e+02
 43 -0.01289  8.56875e+01 | 44 -0.08963  8.74060e+01 | 45 -0.08322  8.54799e+01
 46 -0.12370  7.09164e+01 | 47 -0.16292  5.06433e+01 | 48 -0.16774 -3.43237e+01
 49 -0.18820 -4.83363e+01 | 50 -0.20437 -5.38060e+01 | 51 -0.06610  8.73052e+00
 52  0.00000  0.00000e+00 | 53  0.00588 -4.47478e+01 | 54  0.00080 -4.74557e+03
 55  0.02901  5.94171e+01 | 56  0.22840  3.11900e+02 | 57  0.34886  1.38586e+03
 58  0.19228  1.32831e+01 | 59  0.24380  1.84576e+03 | 60  0.50320  4.33268e+02
 61  0.53052  1.66340e+01 | 62  0.54840  4.14203e+02 | 63  0.37428  2.43263e+02
 64  0.30038  4.88767e+01 | 65  0.42223  1.03123e+03 | 66  0.34762 -1.92369e+02
 67  0.42773 -1.07345e+02 | 68  0.17050  5.47906e+00 | 69  0.07744  5.11801e+00
69 variables; iteration 40; function evaluation 54; phase 1
Function value 2.4557620e+03; maximum gradient component mag -1.5041e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.69814  7.50683e+02 |  2 -0.01317 -1.50407e+04 |  3 -0.42659  8.59157e+03
  4 -0.18899  1.37950e+03 |  5 -0.01891  3.49559e+02 |  6  0.09827  7.73499e+00
  7  0.00596  4.77678e+01 |  8  0.04918  4.95963e+00 |  9  0.00327  7.75689e+00
 10 -0.00224  7.80247e+01 | 11 -0.05957 -8.79458e+00 | 12  0.07384  7.88205e+01
 13  0.02812  2.90471e+01 | 14 -0.01865 -5.71521e+01 | 15  0.00401 -5.25656e+01
 16 -0.00055 -4.34133e+01 | 17  0.00214 -3.49109e+01 | 18  0.02267 -2.96349e+00
 19 -0.01574  2.01355e+01 | 20 -0.04913  9.54882e+01 | 21 -0.05375  2.13368e+02
 22 -0.04418  2.69575e+02 | 23 -0.02046  2.58413e+02 | 24 -0.05135  2.08438e+02
 25 -0.06342  2.42722e+02 | 26 -0.06974  2.69316e+02 | 27 -0.03330  1.22229e+02
 28 -0.04281  5.26745e+01 | 29 -0.09452  1.75247e+02 | 30 -0.10049  4.42706e+02
 31 -0.08401  4.61631e+02 | 32 -0.08128  3.99729e+02 | 33 -0.02647  1.16667e+02
 34  0.00684 -1.09383e+02 | 35 -0.01541  6.60258e+01 | 36  0.03727 -3.05774e+00
 37 -0.07496 -2.76628e+02 | 38  0.00615 -3.57273e+02 | 39 -0.03637 -6.35554e+02
 40  0.12962 -4.97063e+02 | 41 -0.00990 -9.35734e+02 | 42 -0.33498 -2.23600e+02
 43 -0.03375  1.48941e+02 | 44 -0.10697  1.24004e+02 | 45 -0.10294  1.50963e+02
 46 -0.13648  1.71000e+02 | 47 -0.18607  4.21563e+01 | 48 -0.18765 -3.51247e+01
 49 -0.19596 -3.19928e+01 | 50 -0.24563 -7.44117e+01 | 51 -0.19759 -4.83842e+01
 52  0.00000  0.00000e+00 | 53  0.00616  2.18604e+02 | 54  0.00279 -2.60452e+03
 55  0.02877  6.44936e+01 | 56  0.22630  2.84470e+02 | 57  0.34521  8.76940e+02
 58  0.18917  1.08828e+01 | 59  0.24192  1.34003e+03 | 60  0.49873  2.85095e+02
 61  0.46372 -9.40940e+01 | 62  0.55975  4.85256e+02 | 63  0.36989  6.67960e+01
 64  0.29374 -4.85047e+00 | 65  0.41477  8.60044e+02 | 66  0.34069 -3.13116e+02
 67  0.42465 -1.54517e+02 | 68  0.17018  2.01502e+00 | 69  0.07482 -4.90228e+01
69 variables; iteration 60; function evaluation 78; phase 1
Function value 2.2861479e+03; maximum gradient component mag 6.3493e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.84212  1.25443e+02 |  2 -0.01077  6.34926e+03 |  3 -0.42013  1.91064e+02
  4 -0.20761 -1.37377e+03 |  5 -0.02903  7.22580e+01 |  6  0.10089 -8.92975e+01
  7 -0.10183 -7.06864e+01 |  8  0.07546  4.38707e+01 |  9 -0.02466  1.64571e+01
 10  0.01733  1.01385e+02 | 11 -0.12961 -6.25385e+01 | 12  0.10065 -3.25621e+01
 13  0.02189 -4.46614e+01 | 14 -0.00381 -5.96198e+01 | 15  0.02786 -4.47933e+00
 16 -0.01465 -6.29029e+01 | 17  0.03917  2.33526e+01 | 18  0.00963 -9.58251e+01
 19  0.01533  1.00230e+01 | 20 -0.05139 -2.00960e+01 | 21 -0.04663  1.46231e+01
 22 -0.05851  7.52192e+00 | 23  0.00404  1.85345e+02 | 24 -0.06153  1.57996e+01
 25 -0.03985  1.59159e+02 | 26 -0.07570  7.09665e+01 | 27 -0.01800  3.37463e+01
 28 -0.02132  3.90547e+01 | 29 -0.07996 -1.81279e+01 | 30 -0.11215  3.34516e+01
 31 -0.06758  1.46633e+02 | 32 -0.09065  1.37728e+01 | 33 -0.01810 -1.09188e+02
 34  0.03202 -1.22532e+02 | 35 -0.02984 -2.72283e+02 | 36  0.04322 -2.36771e+02
 37 -0.04523 -2.19879e+02 | 38  0.00284 -1.79904e+02 | 39  0.02226 -3.99304e+02
 40  0.11214 -1.02847e+02 | 41  0.04965 -2.44317e+02 | 42 -0.20883 -1.72600e+02
 43 -0.05501 -1.29864e+01 | 44 -0.11003 -4.58200e+01 | 45 -0.09717 -1.34684e+00
 46 -0.14045  2.46094e+01 | 47 -0.18042 -2.44083e+01 | 48 -0.16898  1.81871e+01
 49 -0.14380  8.40221e+01 | 50 -0.23924 -6.87229e+01 | 51 -0.11614 -2.09620e+01
 52  0.00000  0.00000e+00 | 53  0.01258  1.74397e+02 | 54  0.00902  1.85698e+03
 55  0.02396 -8.89016e+01 | 56  0.21949  2.56868e+01 | 57  0.33889 -1.38578e+02
 58  0.20170  5.17603e+01 | 59  0.23340 -2.36722e+02 | 60  0.48576 -1.77009e+01
 61  0.50095 -3.16873e+01 | 62  0.49332 -4.04818e+01 | 63  0.37147 -3.23063e+01
 64  0.27860 -7.49542e+01 | 65  0.38175 -1.03181e+02 | 66  0.36798  1.21809e+01
 67  0.44749  5.18587e+01 | 68  0.16625  5.65602e+00 | 69  0.07225 -4.06253e+01
Maximum number of function evaluations exceeded

 - final statistics:
