"","Pred_species","Prey_species","Pred","Prey","PredSex","PreySex","PredAge","PreyAge","Year","Sample_size","propPreyAge"
"14331","W_Pollock","W_Pollock",1,1,0,0,"1",1,0,20,0.00255262546977298
"14252","W_Pollock","W_Pollock",1,1,0,0,"1",2,0,20,1.5420107081122e-09
"14293","W_Pollock","W_Pollock",1,1,0,0,"1",3,0,20,0
"14618","W_Pollock","W_Pollock",1,1,0,0,"1",4,0,20,0
"14295","W_Pollock","W_Pollock",1,1,0,0,"1",5,0,20,0
"14296","W_Pollock","W_Pollock",1,1,0,0,"1",6,0,20,0
"14297","W_Pollock","W_Pollock",1,1,0,0,"1",7,0,20,0
"14338","W_Pollock","W_Pollock",1,1,0,0,"1",8,0,20,0
"14299","W_Pollock","W_Pollock",1,1,0,0,"1",9,0,20,0
"15353","W_Pollock","W_Pollock",1,1,0,0,"1",10,0,20,0
"4278","W_Pollock","Arrowtooth",1,2,0,2,"1",1,0,20,0
"5080","W_Pollock","Arrowtooth",1,2,0,1,"1",1,0,20,0
"4279","W_Pollock","Arrowtooth",1,2,0,2,"1",2,0,20,0
"5037","W_Pollock","Arrowtooth",1,2,0,1,"1",2,0,20,0
"4280","W_Pollock","Arrowtooth",1,2,0,2,"1",3,0,20,0
"4998","W_Pollock","Arrowtooth",1,2,0,1,"1",3,0,20,0
"4241","W_Pollock","Arrowtooth",1,2,0,2,"1",4,0,20,0
"5082","W_Pollock","Arrowtooth",1,2,0,1,"1",4,0,20,0
"4282","W_Pollock","Arrowtooth",1,2,0,2,"1",5,0,20,0
"5043","W_Pollock","Arrowtooth",1,2,0,1,"1",5,0,20,0
"4243","W_Pollock","Arrowtooth",1,2,0,2,"1",6,0,20,0
"5152","W_Pollock","Arrowtooth",1,2,0,1,"1",6,0,20,0
"4244","W_Pollock","Arrowtooth",1,2,0,2,"1",7,0,20,0
"5112","W_Pollock","Arrowtooth",1,2,0,1,"1",7,0,20,0
"4285","W_Pollock","Arrowtooth",1,2,0,2,"1",8,0,20,0
"4878","W_Pollock","Arrowtooth",1,2,0,1,"1",8,0,20,0
"4246","W_Pollock","Arrowtooth",1,2,0,2,"1",9,0,20,0
"4839","W_Pollock","Arrowtooth",1,2,0,1,"1",9,0,20,0
"1047","W_Pollock","Arrowtooth",1,2,0,2,"1",10,0,20,0
"4840","W_Pollock","Arrowtooth",1,2,0,1,"1",10,0,20,0
"1048","W_Pollock","Arrowtooth",1,2,0,2,"1",11,0,20,0
"5006","W_Pollock","Arrowtooth",1,2,0,1,"1",11,0,20,0
"1049","W_Pollock","Arrowtooth",1,2,0,2,"1",12,0,20,0
"5117","W_Pollock","Arrowtooth",1,2,0,1,"1",12,0,20,0
"1050","W_Pollock","Arrowtooth",1,2,0,2,"1",13,0,20,0
"5105","W_Pollock","Arrowtooth",1,2,0,1,"1",13,0,20,0
"1051","W_Pollock","Arrowtooth",1,2,0,2,"1",14,0,20,0
"5049","W_Pollock","Arrowtooth",1,2,0,1,"1",14,0,20,0
"1052","W_Pollock","Arrowtooth",1,2,0,2,"1",15,0,20,0
"5050","W_Pollock","Arrowtooth",1,2,0,1,"1",15,0,20,0
"1053","W_Pollock","Arrowtooth",1,2,0,2,"1",16,0,20,0
"5147","W_Pollock","Arrowtooth",1,2,0,1,"1",16,0,20,0
"1054","W_Pollock","Arrowtooth",1,2,0,2,"1",17,0,20,0
"5176","W_Pollock","Arrowtooth",1,2,0,1,"1",17,0,20,0
"1055","W_Pollock","Arrowtooth",1,2,0,2,"1",18,0,20,0
"5150","W_Pollock","Arrowtooth",1,2,0,1,"1",18,0,20,0
"1056","W_Pollock","Arrowtooth",1,2,0,2,"1",19,0,20,0
"4315","W_Pollock","Arrowtooth",1,2,0,1,"1",19,0,20,0
"1057","W_Pollock","Arrowtooth",1,2,0,2,"1",20,0,20,0
"3223","W_Pollock","Arrowtooth",1,2,0,1,"1",20,0,20,0
"1058","W_Pollock","Arrowtooth",1,2,0,2,"1",21,0,20,0
"3224","W_Pollock","Arrowtooth",1,2,0,1,"1",21,0,20,0
"6284","W_Pollock","P_Cod",1,3,0,0,"1",1,0,20,0
"5673","W_Pollock","P_Cod",1,3,0,0,"1",2,0,20,0
"6367","W_Pollock","P_Cod",1,3,0,0,"1",3,0,20,0
"6328","W_Pollock","P_Cod",1,3,0,0,"1",4,0,20,0
"6045","W_Pollock","P_Cod",1,3,0,0,"1",5,0,20,0
"6086","W_Pollock","P_Cod",1,3,0,0,"1",6,0,20,0
"6411","W_Pollock","P_Cod",1,3,0,0,"1",7,0,20,0
"6088","W_Pollock","P_Cod",1,3,0,0,"1",8,0,20,0
"6089","W_Pollock","P_Cod",1,3,0,0,"1",9,0,20,0
"6293","W_Pollock","P_Cod",1,3,0,0,"1",10,0,20,0
"6213","W_Pollock","P_Cod",1,3,0,0,"1",11,0,20,0
"5643","W_Pollock","P_Cod",1,3,0,0,"1",12,0,20,0
"10911","W_Pollock","P_Halibut",1,4,0,1,"1",1,0,20,0
"13128","W_Pollock","P_Halibut",1,4,0,2,"1",1,0,20,0
"10912","W_Pollock","P_Halibut",1,4,0,1,"1",2,0,20,0
"13129","W_Pollock","P_Halibut",1,4,0,2,"1",2,0,20,0
"13130","W_Pollock","P_Halibut",1,4,0,2,"1",3,0,20,0
"14033","W_Pollock","P_Halibut",1,4,0,1,"1",3,0,20,0
"13131","W_Pollock","P_Halibut",1,4,0,2,"1",4,0,20,0
"14114","W_Pollock","P_Halibut",1,4,0,1,"1",4,0,20,0
"13132","W_Pollock","P_Halibut",1,4,0,2,"1",5,0,20,0
"14089","W_Pollock","P_Halibut",1,4,0,1,"1",5,0,20,0
"13862","W_Pollock","P_Halibut",1,4,0,2,"1",6,0,20,0
"14076","W_Pollock","P_Halibut",1,4,0,1,"1",6,0,20,0
"10947","W_Pollock","P_Halibut",1,4,0,2,"1",7,0,20,0
"14091","W_Pollock","P_Halibut",1,4,0,1,"1",7,0,20,0
"10948","W_Pollock","P_Halibut",1,4,0,2,"1",8,0,20,0
"14119","W_Pollock","P_Halibut",1,4,0,1,"1",8,0,20,0
"10949","W_Pollock","P_Halibut",1,4,0,2,"1",9,0,20,0
"14106","W_Pollock","P_Halibut",1,4,0,1,"1",9,0,20,0
"10950","W_Pollock","P_Halibut",1,4,0,2,"1",10,0,20,0
"14107","W_Pollock","P_Halibut",1,4,0,1,"1",10,0,20,0
"10951","W_Pollock","P_Halibut",1,4,0,2,"1",11,0,20,0
"14118","W_Pollock","P_Halibut",1,4,0,1,"1",11,0,20,0
"10952","W_Pollock","P_Halibut",1,4,0,2,"1",12,0,20,0
"14109","W_Pollock","P_Halibut",1,4,0,1,"1",12,0,20,0
"10953","W_Pollock","P_Halibut",1,4,0,2,"1",13,0,20,0
"14110","W_Pollock","P_Halibut",1,4,0,1,"1",13,0,20,0
"10954","W_Pollock","P_Halibut",1,4,0,2,"1",14,0,20,0
"14126","W_Pollock","P_Halibut",1,4,0,1,"1",14,0,20,0
"10955","W_Pollock","P_Halibut",1,4,0,2,"1",15,0,20,0
"14099","W_Pollock","P_Halibut",1,4,0,1,"1",15,0,20,0
"10956","W_Pollock","P_Halibut",1,4,0,2,"1",16,0,20,0
"14045","W_Pollock","P_Halibut",1,4,0,1,"1",16,0,20,0
"13144","W_Pollock","P_Halibut",1,4,0,2,"1",17,0,20,0
"14086","W_Pollock","P_Halibut",1,4,0,1,"1",17,0,20,0
"13874","W_Pollock","P_Halibut",1,4,0,2,"1",18,0,20,0
"14047","W_Pollock","P_Halibut",1,4,0,1,"1",18,0,20,0
"10959","W_Pollock","P_Halibut",1,4,0,2,"1",19,0,20,0
"13967","W_Pollock","P_Halibut",1,4,0,1,"1",19,0,20,0
"10960","W_Pollock","P_Halibut",1,4,0,2,"1",20,0,20,0
"13968","W_Pollock","P_Halibut",1,4,0,1,"1",20,0,20,0
"10961","W_Pollock","P_Halibut",1,4,0,2,"1",21,0,20,0
"13929","W_Pollock","P_Halibut",1,4,0,1,"1",21,0,20,0
"10962","W_Pollock","P_Halibut",1,4,0,2,"1",22,0,20,0
"13848","W_Pollock","P_Halibut",1,4,0,1,"1",22,0,20,0
"10963","W_Pollock","P_Halibut",1,4,0,2,"1",23,0,20,0
"13849","W_Pollock","P_Halibut",1,4,0,1,"1",23,0,20,0
"10964","W_Pollock","P_Halibut",1,4,0,2,"1",24,0,20,0
"13729","W_Pollock","P_Halibut",1,4,0,1,"1",24,0,20,0
"10965","W_Pollock","P_Halibut",1,4,0,2,"1",25,0,20,0
"13851","W_Pollock","P_Halibut",1,4,0,1,"1",25,0,20,0
"10966","W_Pollock","P_Halibut",1,4,0,2,"1",26,0,20,0
"13123","W_Pollock","P_Halibut",1,4,0,1,"1",26,0,20,0
"10967","W_Pollock","P_Halibut",1,4,0,2,"1",27,0,20,0
"13124","W_Pollock","P_Halibut",1,4,0,1,"1",27,0,20,0
"10968","W_Pollock","P_Halibut",1,4,0,2,"1",28,0,20,0
"13125","W_Pollock","P_Halibut",1,4,0,1,"1",28,0,20,0
"13126","W_Pollock","P_Halibut",1,4,0,1,"1",29,0,20,0
"13885","W_Pollock","P_Halibut",1,4,0,2,"1",29,0,20,0
"13127","W_Pollock","P_Halibut",1,4,0,1,"1",30,0,20,0
"13886","W_Pollock","P_Halibut",1,4,0,2,"1",30,0,20,0
"14415","W_Pollock","W_Pollock",1,1,0,0,"2",1,0,20,0.000192013849748944
"14376","W_Pollock","W_Pollock",1,1,0,0,"2",2,0,20,3.30068500826724e-07
"14377","W_Pollock","W_Pollock",1,1,0,0,"2",3,0,20,0
"14742","W_Pollock","W_Pollock",1,1,0,0,"2",4,0,20,0
"14379","W_Pollock","W_Pollock",1,1,0,0,"2",5,0,20,0
"14380","W_Pollock","W_Pollock",1,1,0,0,"2",6,0,20,0
"14381","W_Pollock","W_Pollock",1,1,0,0,"2",7,0,20,0
"14382","W_Pollock","W_Pollock",1,1,0,0,"2",8,0,20,0
"14423","W_Pollock","W_Pollock",1,1,0,0,"2",9,0,20,0
"14384","W_Pollock","W_Pollock",1,1,0,0,"2",10,0,20,0
"3349","W_Pollock","Arrowtooth",1,2,0,2,"2",1,0,20,0
