Scenario, Year, SSB, Catch, R, SER
1,2025,3137.22,10,18640.7,0.00122916
1,2026,3356.3,10.5185,18640.7,0.00120607
1,2027,3582.32,10.5659,18640.7,0.00113893
1,2028,3783.55,10.9014,18640.7,0.00111681
1,2029,3955.03,11.4741,18640.7,0.00113333
2,2025,3099.91,325,18640.7,0.0398834
2,2026,3188.61,325.554,18640.7,0.0384333
2,2027,3306.3,314.869,18640.7,0.0357495
2,2028,3423.81,316.858,18640.7,0.0347379
2,2029,3528.34,327.907,18640.7,0.0350706
3,2025,3059.89,650,18640.7,0.0796278
3,2026,3018.72,617.981,18640.7,0.0752483
3,2027,3041.36,575.026,18640.7,0.0688623
3,2028,3093.88,565.303,18640.7,0.0663002
3,2029,3151.14,576.613,18640.7,0.0666059
4,2025,3018.18,975,18640.7,0.119222
4,2026,2852.11,878.083,18640.7,0.110381
4,2027,2795.76,786.628,18640.7,0.0993235
4,2028,2801.81,757.683,18640.7,0.0948023
4,2029,2828.82,764.218,18640.7,0.0948394
5,2025,2974.62,1300,18640.7,0.158655
5,2026,2688.89,1106.73,18640.7,0.143765
5,2027,2568.68,955.615,18640.7,0.127154
5,2028,2543.69,904.885,18640.7,0.120435
5,2029,2553.12,905.504,18640.7,0.120097
6,2025,2929.04,1625,18640.7,0.197912
6,2026,2529.16,1304.87,18640.7,0.175339
6,2027,2359.26,1087.69,18640.7,0.152417
6,2028,2315.83,1016.4,18640.7,0.143459
6,2029,2316.68,1012.34,18640.7,0.142775
7,2025,2881.2,1950,18640.7,0.236976
7,2026,2373.07,1473.53,18640.7,0.205039
7,2027,2166.6,1188.31,18640.7,0.175225
7,2028,2114.7,1100.38,18640.7,0.164198
7,2029,2113,1094.07,18640.7,0.163307
8,2025,2777.76,2600,18640.7,0.314455
8,2026,2072.3,1727.06,18640.7,0.258607
8,2027,1827.74,1315.58,18640.7,0.214197
8,2028,1779.49,1212.15,18640.7,0.200346
8,2029,1781.89,1209.16,18640.7,0.199689
