Year,Region 3
1993,62.4
1994,59
1995,59.1
1996,60.2
1997,60.2
1998,59.1
1999,61.9
2000,61.9
2001,60.6
2002,62.8
2003,64.6
2004,68
2005,63.9
2006,62.2
2007,61.6
2008,57.4
2009,55.8
2010,55.3
2011,54.7
2012,54.9
2013,49.2
2014,51.9
2015,50.9
2016,51.9
2017,48.6
2018,47.9
2019,46.4
2020,48.5
