,model....1.length.mod_list_all.,nll,k,aic,daic,aicW
1,1," 68,378 ", 605 ," 137,967 ",1,0.35
2,2," 68,374 ", 609 ," 137,965 ",0,0.65
3,3," 68,384 ", 609 ," 137,987 ",21,0.00
4,4," 68,384 ", 609 ," 137,987 ",21,0.00
5,5," 68,384 ", 609 ," 137,987 ",22,0.00
6,6," 68,384 ", 609 ," 137,985 ",20,0.00
7,7," 68,384 ", 609 ," 137,985 ",20,0.00
8,8," 68,384 ", 609 ," 137,986 ",20,0.00
9,9," 53,168 ", 447 ," 107,230 ",14,0.00
10,10," 53,157 ", 451 ," 107,216 ",0,0.73
11,11," 53,157 ", 452 ," 107,218 ",2,0.27
12,12," 45,817 ", 411 ," 92,455 ",0,0.40
13,13," 45,813 ", 415 ," 92,455 ",0,0.41
14,14," 45,816 ", 415 ," 92,461 ",6,0.02
15,15," 45,816 ", 415 ," 92,463 ",8,0.01
16,16," 45,813 ", 416 ," 92,457 ",2,0.16
