"","years",""
"1",1977,1.00957786563572
"2",1978,0.973747606091168
"3",1979,0.969410383078374
"4",1980,0.980966764225691
"5",1981,1.11332752479475
"6",1982,1.02687784222617
"7",1983,1.11139035249924
"8",1984,1.07111659188095
"9",1985,1.03795667280301
"10",1986,1.05392150344208
"11",1987,1.17898631844957
"12",1988,1.18923502928447
"13",1989,1.18109303918137
"14",1990,1.2062193653182
"15",1991,1.5122076593642
"16",1992,1.42866682979102
"17",1993,1.42197262839662
"18",1994,1.41207467189117
"19",1995,1.33851383321957
"20",1996,1.34911736250871
"21",1997,1.29391617360176
"22",1998,1.38843892827585
"23",1999,1.26575390114677
"24",2000,1.27255505849284
"25",2001,1.37247254597097
"26",2002,1.37261737155477
"27",2003,1.59001073201595
"28",2004,1.61614447193151
"29",2005,1.65542776206336
"30",2006,1.60214137550932
"31",2007,1.50522494454181
"32",2008,1.47253965952848
"33",2009,1.34832885890305
"34",2010,1.49854353987835
"35",2011,1.33902755244242
"36",2012,1.23432352283968
"37",2013,1.16177337098397
"38",2014,1.056258906907
"39",2015,1.25424607066461
"40",2016,1.24676858491562
"41",2017,1.16417976806974
"42",2018,1.15398030443897
"43",2019,1.09181196198647
"44",2020,1.10375115037836
"45",2021,1.10434106462762
"46",2022,1.0896213272859
