"","Wt_name","Wt_index","Species","Yr","Sex","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"4","Pcod_bt_survey",1,1,1977,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"14","Pcod_bt_survey",1,1,1978,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"24","Pcod_bt_survey",1,1,1979,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"34","Pcod_bt_survey",1,1,1980,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"44","Pcod_bt_survey",1,1,1981,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"54","Pcod_bt_survey",1,1,1982,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"64","Pcod_bt_survey",1,1,1983,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"74","Pcod_bt_survey",1,1,1984,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"84","Pcod_bt_survey",1,1,1985,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"94","Pcod_bt_survey",1,1,1986,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"104","Pcod_bt_survey",1,1,1987,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"114","Pcod_bt_survey",1,1,1988,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"124","Pcod_bt_survey",1,1,1989,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
