,Fleet_name,Fleet_code,Species,Sex,Yr,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Factor,Fleet,Yr.1,Sex.1,Label
61.15,Pcod_bt_survey,1,1,0,1993,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.16,Pcod_bt_survey,1,1,0,1994,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
62,Pcod_bt_survey,1,1,0,1995,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1995,0,1995_4_Lsel
63,Pcod_bt_survey,1,1,0,1996,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
631,Pcod_bt_survey,1,1,0,1997,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
63.1,Pcod_bt_survey,1,1,0,1998,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
63.2,Pcod_bt_survey,1,1,0,1999,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
63.3,Pcod_bt_survey,1,1,0,2000,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
63.4,Pcod_bt_survey,1,1,0,2001,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
63.5,Pcod_bt_survey,1,1,0,2002,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
