
Initial statistics: 47 variables; iteration 0; function evaluation 0; phase 1
Function value 2.1414376e+03; maximum gradient component mag 5.2032e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  7.60983  5.20320e+02 |  2  0.00000 -1.39998e+02 |  3  0.00000 -1.69438e+02
  4  0.00000 -1.41948e+02 |  5  0.00000 -1.33612e+02 |  6  0.00000 -1.22339e+02
  7  0.00000 -1.07949e+02 |  8  0.00000 -3.32728e+01 |  9  0.00000 -7.09441e+01
 10  0.00000 -4.86375e+01 | 11  0.00000 -3.50162e+01 | 12  0.00000  1.61432e+01
 13  0.00000  4.96143e+01 | 14  0.00000  1.24387e+02 | 15  0.00000  1.78731e+02
 16  0.00000  1.64184e+02 | 17  0.00000  1.37570e+02 | 18  0.00000  1.44903e+02
 19  0.00000  1.37981e+02 | 20  0.00000  1.08689e+02 | 21  0.00000  9.94319e+01
 22  0.00000  1.37977e+02 | 23  0.00000  1.42052e+02 | 24  0.00000  1.63554e+02
 25  0.00000  1.86441e+02 | 26  0.00000  1.72339e+02 | 27  0.00000  1.81834e+02
 28  0.00000  1.55180e+02 | 29  0.00000  1.19013e+02 | 30  0.00000  8.78295e+01
 31  0.00000  8.04853e+01 | 32  0.00000  7.56029e+01 | 33  0.00000  7.75331e+01
 34  0.00000  5.58743e+01 | 35  0.00000  4.43226e+01 | 36  0.00000  6.15930e+01
 37  0.00000  5.10089e+01 | 38  0.00000  9.44262e+01 | 39  0.00000  1.00379e+02
 40  0.00000  4.06889e+01 | 41  0.00000  4.30877e+01 | 42  0.00000  2.17758e+01
 43  0.00000  1.02915e+01 | 44  0.00000  2.52732e+01 | 45  0.00000  2.19988e+01
 46  0.00000  2.33084e+01 | 47  0.00000  1.03601e+01 |

Intermediate statistics: 47 variables; iteration 20; function evaluation 35; phase 1
Function value 6.1284211e+02; maximum gradient component mag 6.0277e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  4.21759  6.02773e+01 |  2  0.49054 -1.34176e+01 |  3  1.05327  5.47025e+00
  4  0.54459 -9.91162e+00 |  5  0.24734 -5.74700e-01 |  6  0.35516  1.06383e+01
  7 -0.16371 -2.40651e+01 |  8 -0.47241 -2.08155e+01 |  9 -0.06715 -1.64776e+01
 10  0.01337 -8.72799e+00 | 11 -0.10387 -3.16219e+01 | 12 -0.20011 -1.15156e+01
 13 -0.32743 -1.79043e+01 | 14 -0.49058  1.54006e+01 | 15 -0.57834  9.59134e+00
 16 -0.48342  3.19574e+00 | 17 -0.39957 -1.71768e+01 | 18 -0.11548  1.70129e+01
 19 -0.01557  1.72010e+01 | 20  0.13645  1.95494e+00 | 21  0.16595 -3.99932e+00
 22  0.02127  1.84093e+01 | 23  0.05282  2.32806e+01 | 24 -0.09220  2.92117e+01
 25 -0.27971  2.46543e+01 | 26 -0.18784  2.60007e+01 | 27 -0.39466  6.07512e-01
 28 -0.27615  1.24332e+01 | 29 -0.04580  1.79268e+01 | 30  0.98304  6.54942e-01
 31 -0.04816 -3.71198e+00 | 32  0.04426  7.05120e+00 | 33 -0.02588  6.70059e+00
 34  0.09733 -4.71220e-01 | 35  0.03330 -1.59219e+01 | 36  0.04758  3.16443e+00
 37 -0.08680 -1.78706e+01 | 38 -0.30482  1.74553e+01 | 39 -0.31361  3.05445e+01
 40  0.00730  3.34926e-01 | 41 -0.18455 -4.94022e+00 | 42 -0.16280 -9.31694e+00
 43 -0.25126 -1.86102e+01 | 44 -0.19501  3.59790e+01 | 45 -0.19522  5.08068e+01
 46 -0.38848  3.98215e+01 | 47 -0.56538 -3.63391e+01 |
47 variables; iteration 40; function evaluation 60; phase 1
Function value 5.0985532e+02; maximum gradient component mag 4.3716e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  3.02278  2.18916e+01 |  2  0.58758 -8.38776e+00 |  3  0.82968 -1.88478e+01
  4  0.61920 -1.27952e+01 |  5  0.09943 -1.93461e+01 |  6 -0.13731 -3.77457e+01
  7  0.00928 -1.68576e+01 |  8 -0.42625 -7.47682e+00 |  9 -0.09145 -2.73110e+01
 10 -0.08001 -2.52912e+01 | 11  0.13078 -1.07056e+01 | 12 -0.21368 -2.05408e+01
 13 -0.31569 -2.05774e+01 | 14 -0.53868 -1.74806e+01 | 15 -0.59703 -1.21473e+01
 16 -0.43590  1.10981e+01 | 17 -0.25036 -1.91571e+00 | 18 -0.31729 -1.69925e+01
 19 -0.21887 -1.28583e+01 | 20  0.22805 -1.04897e+01 | 21  0.40666 -9.01885e+00
 22 -0.01011 -6.44792e+00 | 23 -0.13522 -1.82475e+01 | 24 -0.24636 -1.44676e+01
 25 -0.38986 -1.48529e+01 | 26 -0.29351 -8.91949e+00 | 27 -0.43668 -1.28699e+01
 28 -0.30963 -1.91967e+00 | 29 -0.18776 -7.05954e+00 | 30  1.55793 -4.00339e-01
 31  0.17313  4.14428e+00 | 32  0.05210  8.53845e+00 | 33 -0.05880  1.30691e+01
 34  0.15119  1.46111e+01 | 35  0.12164  9.71670e+00 | 36 -0.03961  1.80064e+01
 37 -0.00760  2.06674e+01 | 38 -0.48110  2.58617e+00 | 39 -0.53987 -3.84766e-01
 40 -0.17879  1.94555e+01 | 41 -0.30992  2.67583e+01 | 42 -0.35829  1.59318e+01
 43 -0.34522  4.37158e+01 | 44 -0.60615  2.31640e-01 | 45 -0.63966 -4.86715e+00
 46 -0.69549 -3.64045e+01 | 47 -0.69331 -6.18620e+00 |
47 variables; iteration 60; function evaluation 85; phase 1
Function value 4.3194679e+02; maximum gradient component mag -8.0216e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.51719  6.91510e-01 |  2 -0.29179 -5.07059e+00 |  3  1.01778  1.69740e+00
  4  0.70248 -8.36648e+00 |  5  0.18462 -2.02038e+00 |  6  0.04522  7.63794e-01
  7 -0.05892 -4.51267e+00 |  8 -0.40335  1.54453e+01 |  9 -0.02068  9.41581e-01
 10  0.03630  6.96853e+00 | 11  0.06184  2.90795e+00 | 12 -0.17048  2.09222e+00
 13 -0.30279 -8.37004e+00 | 14 -0.47569  1.51020e+01 | 15 -0.57191 -4.42915e-01
 16 -0.48995 -1.04027e+01 | 17 -0.24016  5.98713e+00 | 18 -0.25763 -4.47500e-01
