"","Pred","Pred_species","Prey","Prey_species","PredSex","PreySex","PredAge","PreyAge","propPreyAge"
"14331",1,"W_Pollock",1,"W_Pollock",0,0,"1",1,0.00280466279644412
"14252",1,"W_Pollock",1,"W_Pollock",0,0,"1",2,1.31081928476289e-09
"14293",1,"W_Pollock",1,"W_Pollock",0,0,"1",3,0
"14618",1,"W_Pollock",1,"W_Pollock",0,0,"1",4,0
"14295",1,"W_Pollock",1,"W_Pollock",0,0,"1",5,0
"14296",1,"W_Pollock",1,"W_Pollock",0,0,"1",6,0
"14297",1,"W_Pollock",1,"W_Pollock",0,0,"1",7,0
"14338",1,"W_Pollock",1,"W_Pollock",0,0,"1",8,0
"14299",1,"W_Pollock",1,"W_Pollock",0,0,"1",9,0
"15353",1,"W_Pollock",1,"W_Pollock",0,0,"1",10,0
"4278",1,"W_Pollock",2,"Arrowtooth",0,2,"1",1,2.93100690823543e-05
"5080",1,"W_Pollock",2,"Arrowtooth",0,1,"1",1,2.95590125715858e-05
"4279",1,"W_Pollock",2,"Arrowtooth",0,2,"1",2,0
"5037",1,"W_Pollock",2,"Arrowtooth",0,1,"1",2,0
"4280",1,"W_Pollock",2,"Arrowtooth",0,2,"1",3,0
"4998",1,"W_Pollock",2,"Arrowtooth",0,1,"1",3,0
"4241",1,"W_Pollock",2,"Arrowtooth",0,2,"1",4,0
"5082",1,"W_Pollock",2,"Arrowtooth",0,1,"1",4,0
"4282",1,"W_Pollock",2,"Arrowtooth",0,2,"1",5,0
"5043",1,"W_Pollock",2,"Arrowtooth",0,1,"1",5,0
"4243",1,"W_Pollock",2,"Arrowtooth",0,2,"1",6,0
"5152",1,"W_Pollock",2,"Arrowtooth",0,1,"1",6,0
"4244",1,"W_Pollock",2,"Arrowtooth",0,2,"1",7,0
"5112",1,"W_Pollock",2,"Arrowtooth",0,1,"1",7,0
"4285",1,"W_Pollock",2,"Arrowtooth",0,2,"1",8,0
"4878",1,"W_Pollock",2,"Arrowtooth",0,1,"1",8,0
"4246",1,"W_Pollock",2,"Arrowtooth",0,2,"1",9,0
"4839",1,"W_Pollock",2,"Arrowtooth",0,1,"1",9,0
"1047",1,"W_Pollock",2,"Arrowtooth",0,2,"1",10,0
"4840",1,"W_Pollock",2,"Arrowtooth",0,1,"1",10,0
"1048",1,"W_Pollock",2,"Arrowtooth",0,2,"1",11,0
"5006",1,"W_Pollock",2,"Arrowtooth",0,1,"1",11,0
"1049",1,"W_Pollock",2,"Arrowtooth",0,2,"1",12,0
"5117",1,"W_Pollock",2,"Arrowtooth",0,1,"1",12,0
"1050",1,"W_Pollock",2,"Arrowtooth",0,2,"1",13,0
"5105",1,"W_Pollock",2,"Arrowtooth",0,1,"1",13,0
"1051",1,"W_Pollock",2,"Arrowtooth",0,2,"1",14,0
"5049",1,"W_Pollock",2,"Arrowtooth",0,1,"1",14,0
"1052",1,"W_Pollock",2,"Arrowtooth",0,2,"1",15,0
"5050",1,"W_Pollock",2,"Arrowtooth",0,1,"1",15,0
"1053",1,"W_Pollock",2,"Arrowtooth",0,2,"1",16,0
"5147",1,"W_Pollock",2,"Arrowtooth",0,1,"1",16,0
"1054",1,"W_Pollock",2,"Arrowtooth",0,2,"1",17,0
"5176",1,"W_Pollock",2,"Arrowtooth",0,1,"1",17,0
"1055",1,"W_Pollock",2,"Arrowtooth",0,2,"1",18,0
"5150",1,"W_Pollock",2,"Arrowtooth",0,1,"1",18,0
"1056",1,"W_Pollock",2,"Arrowtooth",0,2,"1",19,0
"4315",1,"W_Pollock",2,"Arrowtooth",0,1,"1",19,0
"1057",1,"W_Pollock",2,"Arrowtooth",0,2,"1",20,0
"3223",1,"W_Pollock",2,"Arrowtooth",0,1,"1",20,0
"1058",1,"W_Pollock",2,"Arrowtooth",0,2,"1",21,0
"3224",1,"W_Pollock",2,"Arrowtooth",0,1,"1",21,0
"6284",1,"W_Pollock",3,"P_Cod",0,0,"1",1,0
"5673",1,"W_Pollock",3,"P_Cod",0,0,"1",2,0
"6367",1,"W_Pollock",3,"P_Cod",0,0,"1",3,0
"6328",1,"W_Pollock",3,"P_Cod",0,0,"1",4,0
"6045",1,"W_Pollock",3,"P_Cod",0,0,"1",5,0
"6086",1,"W_Pollock",3,"P_Cod",0,0,"1",6,0
"6411",1,"W_Pollock",3,"P_Cod",0,0,"1",7,0
"6088",1,"W_Pollock",3,"P_Cod",0,0,"1",8,0
"6089",1,"W_Pollock",3,"P_Cod",0,0,"1",9,0
"6293",1,"W_Pollock",3,"P_Cod",0,0,"1",10,0
"6213",1,"W_Pollock",3,"P_Cod",0,0,"1",11,0
"5643",1,"W_Pollock",3,"P_Cod",0,0,"1",12,0
"10911",1,"W_Pollock",4,"P_Halibut",0,1,"1",1,0
"13128",1,"W_Pollock",4,"P_Halibut",0,2,"1",1,0
"10912",1,"W_Pollock",4,"P_Halibut",0,1,"1",2,0
"13129",1,"W_Pollock",4,"P_Halibut",0,2,"1",2,0
"13130",1,"W_Pollock",4,"P_Halibut",0,2,"1",3,0
"14033",1,"W_Pollock",4,"P_Halibut",0,1,"1",3,0
"13131",1,"W_Pollock",4,"P_Halibut",0,2,"1",4,0
"14114",1,"W_Pollock",4,"P_Halibut",0,1,"1",4,0
"13132",1,"W_Pollock",4,"P_Halibut",0,2,"1",5,0
"14089",1,"W_Pollock",4,"P_Halibut",0,1,"1",5,0
"13862",1,"W_Pollock",4,"P_Halibut",0,2,"1",6,0
"14076",1,"W_Pollock",4,"P_Halibut",0,1,"1",6,0
"10947",1,"W_Pollock",4,"P_Halibut",0,2,"1",7,0
