,Length,Wt,,,Age,Male length,Male wt,Female length,Female weight
1,15.18623911,25.1652701,,,1,15.78487151,0.028331837,14.67099142,0.02243978
2,22.1646343,83.5640547,,,2,22.33491892,0.085613645,22.03848435,0.082045681
3,28.06728398,177.3773937,,,3,27.61199562,0.168273733,28.35758866,0.183182144
4,33.09927833,300.5857132,,,4,31.86349743,0.265565505,33.77748926,0.319805211
5,37.4195967,445.508104,,,5,35.28873999,0.367660973,38.42614215,0.482280485
6,41.15159205,604.6947263,,,6,38.04830286,0.467333577,42.41329528,0.660541602
7,44.39139351,771.6141197,,,7,40.27155775,0.56002027,45.83307957,0.845658795
8,47.21453761,940.8344958,,,8,42.06273357,0.643303872,48.76623116,1.030448997
9,49.68110944,1108.009876,,,9,43.50580285,0.716291985,51.28199753,1.209558924
10,51.83965345,1269.795315,,,10,44.66841844,0.779077365,53.43977227,1.379289289
11,53.73009073,1423.736542,,,11,45.6050852,0.832329016,55.29049731,1.537316304
12,55.38585475,1568.150254,,,12,46.3597152,0.877007306,56.87786559,1.682395414
13,56.8354287,1702.002295,,,13,46.96768643,0.914178285,58.23935257,1.814089224
14,58.10343766,1824.788792,,,14,47.45750134,0.944900467,59.407101,1.932536773
15,59.21141876,1936.424509,,,15,47.85212303,0.97016144,60.40867972,2.038267887
16,60.17836497,2037.141862,,,16,48.17005186,0.990847087,61.26773456,2.132059583
17,61.0211141,2127.402839,,,17,48.42619273,1.007731122,62.00454655,2.214828672
18,61.75463458,2207.824823,,,18,48.63255384,1.021476588,62.63651075,2.287553964
19,62.39224395,2279.120239,,,19,48.79880964,1.032643828,63.17854693,2.35122182
20,62.94578411,2342.049089,,,20,48.93275441,1.041701472,63.64345178,2.406789585
21,63.42576884,2397.382957,,,21,49.04066765,1.049038338,64.04220102,2.455162392
