"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28"
"1",1977,20,0,0,0,0,0,0.46257015465625,4.32808790329564,8.24951808948177,5.49821343274967,13.6351489523873,19.4446493950929,37.2913126124516,46.4893941757188,36.6404395164782,39.2495180894818,40.7616126871272,21.0811916190983,12.6669740926394,11.456563062258,11.5240178348125,29.5782857523855,47.3404013542674,45.6442055979411,40.8854045715521,25.7047967738289,3.22828153112898
"2",1978,20,0,0,0,0,0,0,5.8577223804673,21.8691178243382,72.8543207945667,98.1112840338732,112.028210061432,219.672120811767,299.749232007525,215.448664666074,362.139707950612,478.452239733711,308.895116681682,245.4000589672,133.402310241675,126.802911181753,163.842749813459,156.759923973903,75.8358670195685,43.6223346220176,29.9724665564617,4.07507219505236
"3",1979,20,0,0,0,0,0,1.16808229815233,0,0,4.95349464899109,16.4185106490049,72.8532407049763,108.60872685825,232.88064699907,189.272146167384,385.950212611633,439.588468129564,558.00404209279,697.539332148816,606.556693147253,424.349565213877,691.537553530267,567.964092941574,332.006746382027,185.502021046395,187.414592254976,81.0482432992504
"4",1980,20,0,0,0,0,0.259225100817846,0,0.46257015465625,8,16.8336546070122,20.1281264926881,39.9054468571619,64.739852621264,169.088522984808,274.730810365281,242.507076748697,218.172128319207,192.299130599384,210.501533714989,264.715864108847,226.688394566577,147.255777624187,255.236044351696,182.448633397709,91.9218973903213,66.2235325716851,20.0009222779182
"5",1981,20,0,0,0,0,0,0,0,10.5257412682243,5.78272054391545,3.65458092717368,5.93330739491902,22.7127812785285,51.3038177239136,94.2579782515875,157.090795083084,250.021688325227,173.762702251093,93.5335408406478,141.732490143342,132.968880648272,72.8053146014574,48.6287063411217,19.4790438074081,12.4726445032614,2.51667315127024,0.768524783499018
"6",1982,20,0,0.937026643943004,0,0,3.20587037180095,15.1562019895,44.991506211086,35.7534523307972,95.6373072574819,320.527930201267,631.012084789456,524.944962510901,307.10949502625,408.886907351722,719.408555942442,1010.74291665962,1191.18080406504,904.603658627969,695.127591405214,900.577383255005,1050.91861541552,1690.25462826199,1001.50013600381,540.171718920131,473.407467499433,96.0896850120854
"7",1983,20,0,0,0,0,0.364851047612713,0,1.41737477509682,12.2245790720625,49.8516923384652,120.344256638413,120.021438807004,202.149021714457,352.142067945577,356.979455424487,415.150957222813,464.217142476145,742.055901620115,919.104633599191,731.943963049808,554.278592937099,585.668101745605,828.576139618156,1590.82224406768,994.831158790224,541.645218296613,105.649532952786
"8",1984,20,0,0,0,0,0,5.07409913399607,4.03753609752618,10.276672449565,16.2371293658878,46.7827205439154,50.2363222516307,86.1888326889912,149.212442969582,208.515559675864,368.615436042323,411.937601559814,338.601100208119,476.7610764223,417.9453306736,267.261038513721,211.115496094673,257.351449241475,625.121699898133,551.920212004958,275.616372714142,40.2667704203239
"9",1985,20,0,0,0.937026643943004,1.80930107020178,0,0,0.710949502625004,9.10639233949222,14.5069046615944,4.062973356057,11.0953494648991,22.4396382860946,23.5589073973934,17.289050497375,20.0531961697461,52.5207139847833,74.4659183638963,77.0859944133739,50.0563403655727,24.8238888459716,17.2189900525001,11.5489492752891,10.7534523307972,24.5516128106891,15.3790590967151,1.71629787019902
"10",1986,20,0,0,0,0,0,0,0,0.354343693774205,0,1.94531868278406,1.83365460701216,1.87544664181258,1.18242552380636,3.81457570572492,14.7086873875484,12.29943876275,9.61723077948841,10.0851003385669,7.87901977631325,9.81089371432372,4.44464939509292,12.2674698182901,9.67373721618749,16.070417607329,11.0019276420729,0
