"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","sel(B):_2","dead(B):_2","retain(B):_2","sel(N):_2","dead(N):_2","retain(N):_2","obs_cat:_2","F:_2","sel(B):_3","dead(B):_3","retain(B):_3","sel(N):_3","dead(N):_3","retain(N):_3","obs_cat:_3","F:_3","SSB_vir_LH","ABC_buffer"
"1447",1,1975,"VIRG",1,636572,565002,413547,463705,413547,565002,306893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413547,NA
"1448",1,1976,"INIT",1,392441,347252,252033,292787,252033,347252,191445,1000.41,1000.41,1000.41,464.482,464.482,464.482,1000,0.00311793,2001.68,2001.68,2001.68,643.519,643.519,643.519,2000,0.00832699,0,0,0,0,0,0,0,0,252033,NA
"1449",1,1977,"TIME",1,364209,328547,220822,1207580,220822,328547,200063,653,653,653,324.243,324.243,324.243,653,0.00213277,1615,1615,1615,574.038,574.038,574.038,1615,0.00741593,0,0,0,0,0,0,0,0,220822,NA
"1450",1,1978,"TIME",1,405023,327260,239697,377556,239697,327260,178825,3263,3263,3263,1476.11,1476.11,1476.11,3263,0.0111898,8927,8927,8927,3303.92,3303.92,3303.92,8927,0.0350469,0,0,0,0,0,0,0,0,239697,NA
"1451",1,1979,"TIME",1,471526,317907,235975,369733,235975,317907,173338,3790,3790,3790,1810.77,1810.77,1810.77,3790,0.0133157,11114,11114,11114,3922.39,3922.39,3922.39,11114,0.0486089,0,0,0,0,0,0,0,0,235975,NA
"1452",1,1980,"TIME",1,530446,472452,240527,624014,240527,472452,402156,9851,9851,9851,4464.09,4464.09,4464.09,9851,0.0360925,25494,25494,25494,10646.9,10646.9,10646.9,25494,0.10984,0,0,0,0,0,0,0,0,240527,NA
"1453",1,1981,"TIME",1,556366,489274,287555,689951,287555,489274,333609,10485,10485,10485,5691.07,5691.07,5691.07,10485,0.0235483,25646,25646,25646,12171.9,12171.9,12171.9,25646,0.065248,0,0,0,0,0,0,0,0,287555,NA
"1454",1,1982,"TIME",1,579603,480686,333569,756252,333569,480686,286468,6680,6680,6680,3463.66,3463.66,3463.66,6680,0.015064,22785,22785,22785,9932.03,9932.03,9932.03,22785,0.0565413,0,0,0,0,0,0,0,0,333569,NA
"1455",1,1983,"TIME",1,618424,509359,344749,538912,344749,509359,323178,9512,9512,9512,4187.91,4187.91,4187.91,9512,0.023354,27028,27028,27028,10847.2,10847.2,10847.2,27028,0.0704906,0,0,0,0,0,0,0,0,344749,NA
"1456",1,1984,"TIME",1,651063,542897,347180,709138,347180,542897,361138,8806,8806,8806,4370.18,4370.18,4370.18,8806,0.0184728,15092,15092,15092,5560.29,5560.29,5560.29,15092,0.0441447,0,0,0,0,0,0,0,0,347180,NA
"1457",1,1985,"TIME",1,690522,600607,377083,886695,377083,600607,405314,4876,4876,4876,2041.34,2041.34,2041.34,4876,0.0116595,9552,9552,9552,2849.43,2849.43,2849.43,9552,0.0469144,0,0,0,0,0,0,0,0,377083,NA
"1458",1,1986,"TIME",1,742523,626118,422196,499375,422196,626118,383358,6851,6851,6851,3952.75,3952.75,3952.75,6851,0.0115622,18161,18161,18161,5383.53,5383.53,5383.53,18161,0.0744812,0,0,0,0,0,0,0,0,422196,NA
"1459",1,1987,"TIME",1,787267,665740,454985,588083,454985,665740,408273,22487,22487,22487,10482.8,10482.8,10482.8,22487,0.0395796,9809,9809,9809,3477.87,3477.87,3477.87,9809,0.0222769,643,643,643,202.546,202.546,202.546,643,0.00200986,454985,NA
"1460",1,1988,"TIME",1,794280,713711,466017,597962,466017,713711,463650,27145,27145,27145,11931.9,11931.9,11931.9,27145,0.0479639,5236,5236,5236,1929.62,1929.62,1929.62,5236,0.0109773,1421,1421,1421,447.701,447.701,447.701,1421,0.00433232,466017,NA
"1461",1,1989,"TIME",1,787561,696405,486343,632229,486343,696405,402802,37638,37638,37638,16720.3,16720.3,16720.3,37638,0.0673945,5280,5280,5280,1881.28,1881.28,1881.28,5280,0.0111268,375,375,375,118.146,118.146,118.146,375,0.0011094,486343,NA
"1462",1,1990,"TIME",1,769439,675856,486461,749185,486461,675856,383319,59190,59190,59190,18287.2,18287.2,18287.2,59190,0.175709,7666,7666,7666,2328.73,2328.73,2328.73,7666,0.0204723,5661,5661,5661,1749.66,1749.66,1749.66,5661,0.0172142,486461,NA
"1463",1,1991,"TIME",1,736250,634108,446601,444758,446601,634108,370376,58101.5,58101.5,58101.5,18067.7,18067.7,18067.7,58101.5,0.187849,7734.9,7734.9,7734.9,2348.46,2348.46,2348.46,7734.9,0.0226248,10464.1,10464.1,10464.1,3220.84,3220.84,3220.84,10464.1,0.03504,446601,NA
"1464",1,1992,"TIME",1,707463,603872,410158,385255,410158,603872,369871,54762.2,54762.2,54762.2,17564.4,17564.4,17564.4,54762.2,0.194543,15830.5,15830.5,15830.5,4922.85,4922.85,4922.85,15830.5,0.0510319,10154.4,10154.4,10154.4,3185.37,3185.37,3185.37,10154.4,0.0376285,410158,NA
