"","Area","Bio_Pattern","Sex","BirthSeas","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"2307",1,1,1,1,1,1,1994,1,1994.5,"M","VIRG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2309",1,1,1,1,1,1,1995,1,1995.5,"M","INIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2311",1,1,1,1,1,1,1996,1,1996.5,"M","TIME",11528.6,15915.7,14526.9,4167.44,6053.57,5038.56,4948.08,6733.09,1441.99,16647.4,669.654,3244.98,1225.12,3704.63,381.205,370.189,1638.27,368.832,221.6,98.4108,178.65,153.766,132.347,113.912,98.0454,84.3884,72.6338,62.5165,53.8084,46.3133,286.178
"2313",1,1,1,1,1,1,1997,1,1997.5,"M","TIME",9657.6,9922.77,13692.3,12438.2,3540.25,5121.83,4256.69,4168.61,5650.45,1204.53,13807,548.865,2615.52,967.311,2862.76,289.566,278.986,1233.06,277.606,166.79,74.0701,134.463,115.734,99.6128,85.7375,73.795,63.5159,54.6687,47.0538,40.4996,250.253
"2315",1,1,1,1,1,1,1998,1,1998.5,"M","TIME",16353.6,8312.37,8536.46,11722.9,10568.2,2996.5,4328.29,3586.16,3496.42,4713.77,996.554,11266.6,439.133,2041.78,735.731,2131.67,213.404,205.244,907.138,204.229,122.704,54.4917,98.9216,85.1426,73.2829,63.0752,54.2893,46.7273,40.2185,34.6164,213.9
"2317",1,1,1,1,1,1,1999,1,1999.5,"M","TIME",22814.6,14075.7,7150.75,7305.65,9952.8,8937.66,2530.23,3643.72,3005.39,2913.59,3893.31,810.878,8971.48,340.321,1537.46,541.124,1550.01,154.872,148.95,658.331,148.213,89.0488,39.5458,71.7896,61.7899,53.1831,45.7751,39.399,33.911,29.1875,180.354
"2319",1,1,1,1,1,1,2000,1,2000.5,"M","TIME",16937.1,19636.7,12108.5,6118.45,6198,8407.52,7535.56,2125.59,3045.69,2497.67,2400.04,3160.23,644.414,6941.21,255.822,1128.21,392.209,1121.01,112.008,107.725,476.124,107.192,64.4027,28.6007,51.9203,44.6883,38.4635,33.1059,28.4945,24.5254,151.547
"2321",1,1,1,1,1,1,2001,1,2001.5,"M","TIME",11510.4,14577.9,16891.9,10358.2,5188.15,5232.19,7082.57,6321.8,1772.82,2523.34,2049.71,1939.54,2499.47,496.356,5199.37,187.339,817.283,283.621,810.646,80.997,77.9,344.302,77.5146,46.5719,20.6822,37.5455,32.3157,27.8144,23.9401,20.6054,127.324
"2323",1,1,1,1,1,1,2002,1,2002.5,"M","TIME",16733.3,9907.09,12540.3,14451.5,8782.88,4378.44,4405.17,5934.97,5261.41,1463.82,2060.41,1644.75,1519.69,1902.86,366.767,3750.64,133.585,581.694,201.865,576.971,57.649,55.4447,245.055,55.1704,33.1472,14.7204,26.7227,23.0005,19.7967,17.0392,105.288
"2325",1,1,1,1,1,1,2003,1,2003.5,"M","TIME",12394.6,14402.4,8522.09,10726.1,12249.5,7408.1,3681.55,3680.87,4915.74,4315.48,1184.74,1634.85,1271.41,1139.24,1382.59,259.95,2627.14,93.4042,406.727,141.146,403.425,40.3089,38.7676,171.345,38.5758,23.1769,10.2927,18.6848,16.0822,13.8421,85.5324
"2327",1,1,1,1,1,1,2004,1,2004.5,"M","TIME",16825.1,10668,12388.5,7287.09,9084.94,10319.3,6215.64,3063.85,3028.45,3995.48,3454.31,927.982,1245.87,939.003,815.403,965.48,179.442,1810.58,64.3729,280.311,97.2761,278.035,27.7803,26.7181,118.089,26.5859,15.9732,7.09358,12.8773,11.0836,68.4875
"2329",1,1,1,1,1,1,2005,1,2005.5,"M","TIME",23599.8,14481.3,9175.68,10586,6163.67,7640.38,8639.63,5156.95,2509.05,2445.67,3172.6,2679.3,699.085,908.334,662.902,561.531,657.485,122.026,1231.26,43.7758,190.621,66.1512,189.074,18.8916,18.1693,80.3045,18.0794,10.8624,4.82388,8.75705,54.1112
"2331",1,1,1,1,1,1,2006,1,2006.5,"M","TIME",7488.01,20312.4,12455.4,7838.75,8945.73,5176.78,6388.44,7157.5,4216.28,2022.57,1937.6,2452.59,2008.19,506.033,635.173,451.351,377.813,441.744,81.9862,827.25,29.4118,128.073,44.4452,127.034,12.6928,12.2074,53.9545,12.147,7.29813,3.24104,42.2395
"2333",1,1,1,1,1,1,2007,1,2007.5,"M","TIME",6401.89,6444.95,17471.1,10642.5,6625.07,7513.2,4327.71,5289.5,5846.58,3396.65,1602.08,1497.79,1837.34,1451.03,352.609,430.229,301.829,252.271,294.961,54.7438,552.371,19.6388,85.5171,29.6769,84.8229,8.47521,8.15115,36.0265,8.11082,4.8731,30.3683
"2335",1,1,1,1,1,1,2008,1,2008.5,"M","TIME",8306.69,5510.14,5543.38,14925.6,8993.69,5564.86,6282.69,3584.45,4322.3,4713.3,2694.43,1240.83,1124.08,1328.96,1010.71,238.407,287.018,201.048,168.038,196.475,36.4651,367.937,13.0815,56.9633,19.768,56.5009,5.64538,5.42952,23.9974,5.40265,23.4744
