"","Pred","Prey","Pred_sex","Prey_sex","Pred_age","Prey_age","Year","Sample_size","Stomach_proportion_by_weight"
"125",1,2,1,1,3,1,0,20,0
"126",1,2,1,1,3,2,0,20,0
"127",1,2,1,1,3,3,0,20,0
"128",1,2,1,1,3,4,0,20,0
"129",1,2,1,1,3,5,0,20,0
"130",1,2,1,1,3,6,0,20,0
"131",1,2,1,1,3,7,0,20,0
"132",1,2,1,1,3,8,0,20,0
"133",1,2,1,1,3,9,0,20,0
"134",1,2,1,1,3,10,0,20,0
"135",1,2,1,1,3,11,0,20,0
"136",1,2,1,1,3,12,0,20,0
"137",1,2,1,1,4,1,0,20,0
"138",1,2,1,1,4,2,0,20,0
"139",1,2,1,1,4,3,0,20,0
"140",1,2,1,1,4,4,0,20,0
"141",1,2,1,1,4,5,0,20,0
"142",1,2,1,1,4,6,0,20,0
"143",1,2,1,1,4,7,0,20,0
"144",1,2,1,1,4,8,0,20,0
"145",1,2,1,1,4,9,0,20,0
"146",1,2,1,1,4,10,0,20,0
"147",1,2,1,1,4,11,0,20,0
"148",1,2,1,1,4,12,0,20,0
"149",1,2,1,1,5,1,0,20,0.000269886021349912
"150",1,2,1,1,5,2,0,20,0
"151",1,2,1,1,5,3,0,20,0
"152",1,2,1,1,5,4,0,20,0
"153",1,2,1,1,5,5,0,20,0
"154",1,2,1,1,5,6,0,20,0
"155",1,2,1,1,5,7,0,20,0
"156",1,2,1,1,5,8,0,20,0
"157",1,2,1,1,5,9,0,20,0
"158",1,2,1,1,5,10,0,20,0
"159",1,2,1,1,5,11,0,20,0
"160",1,2,1,1,5,12,0,20,0
"161",1,2,1,1,6,1,0,20,0
"162",1,2,1,1,6,2,0,20,0
"163",1,2,1,1,6,3,0,20,0
"164",1,2,1,1,6,4,0,20,0
"165",1,2,1,1,6,5,0,20,0
"166",1,2,1,1,6,6,0,20,0
"167",1,2,1,1,6,7,0,20,0
"168",1,2,1,1,6,8,0,20,0
"169",1,2,1,1,6,9,0,20,0
"170",1,2,1,1,6,10,0,20,0
"171",1,2,1,1,6,11,0,20,0
"172",1,2,1,1,6,12,0,20,0
"173",1,2,1,1,7,1,0,20,0.000789508537017166
"174",1,2,1,1,7,2,0,20,0
"175",1,2,1,1,7,3,0,20,0
"176",1,2,1,1,7,4,0,20,0
"177",1,2,1,1,7,5,0,20,0
"178",1,2,1,1,7,6,0,20,0
"179",1,2,1,1,7,7,0,20,0
"180",1,2,1,1,7,8,0,20,0
"181",1,2,1,1,7,9,0,20,0
"182",1,2,1,1,7,10,0,20,0
"183",1,2,1,1,7,11,0,20,0
"184",1,2,1,1,7,12,0,20,0
"185",1,2,1,1,8,1,0,20,0
"186",1,2,1,1,8,2,0,20,0
"187",1,2,1,1,8,3,0,20,0
"188",1,2,1,1,8,4,0,20,0
"189",1,2,1,1,8,5,0,20,0
"190",1,2,1,1,8,6,0,20,0
"191",1,2,1,1,8,7,0,20,0
"192",1,2,1,1,8,8,0,20,0
"193",1,2,1,1,8,9,0,20,0
"194",1,2,1,1,8,10,0,20,0
"195",1,2,1,1,8,11,0,20,0
"196",1,2,1,1,8,12,0,20,0
"197",1,2,1,1,9,1,0,20,0
"198",1,2,1,1,9,2,0,20,0
"199",1,2,1,1,9,3,0,20,0
"200",1,2,1,1,9,4,0,20,0
"201",1,2,1,1,9,5,0,20,0
"202",1,2,1,1,9,6,0,20,0
"203",1,2,1,1,9,7,0,20,0
"204",1,2,1,1,9,8,0,20,0
"205",1,2,1,1,9,9,0,20,0
"206",1,2,1,1,9,10,0,20,0
"207",1,2,1,1,9,11,0,20,0
"208",1,2,1,1,9,12,0,20,0
"209",1,2,1,1,10,1,0,20,6.27682144912589e-05
"210",1,2,1,1,10,2,0,20,0
"211",1,2,1,1,10,3,0,20,0
"212",1,2,1,1,10,4,0,20,0
"213",1,2,1,1,10,5,0,20,0
"214",1,2,1,1,10,6,0,20,0
"215",1,2,1,1,10,7,0,20,0
"216",1,2,1,1,10,8,0,20,0
"217",1,2,1,1,10,9,0,20,0
"218",1,2,1,1,10,10,0,20,0
"219",1,2,1,1,10,11,0,20,0
"220",1,2,1,1,10,12,0,20,0
"221",1,3,1,1,1,1,0,20,0
"222",1,3,1,1,1,2,0,20,0
"223",1,3,1,1,1,3,0,20,0
"224",1,3,1,1,1,4,0,20,0
"225",1,3,1,1,1,5,0,20,0
"226",1,3,1,1,1,6,0,20,0
"227",1,3,1,1,1,7,0,20,0
"228",1,3,1,1,1,8,0,20,0
"229",1,3,1,1,1,9,0,20,0
"230",1,3,1,1,1,10,0,20,0
"231",1,3,1,1,1,11,0,20,0
"232",1,3,1,1,1,12,0,20,0
"233",1,3,1,1,1,13,0,20,0
"234",1,3,1,1,1,14,0,20,0
"235",1,3,1,1,1,15,0,20,0
"236",1,3,1,1,1,16,0,20,0
"237",1,3,1,1,1,17,0,20,0
"238",1,3,1,1,1,18,0,20,0
"239",1,3,1,1,1,19,0,20,0
"240",1,3,1,1,1,20,0,20,0
"241",1,3,1,1,1,21,0,20,0
"242",1,3,1,1,2,1,0,20,0.000189701630186846
"243",1,3,1,1,2,2,0,20,0
"244",1,3,1,1,2,3,0,20,0
"245",1,3,1,1,2,4,0,20,0
"246",1,3,1,1,2,5,0,20,0
"247",1,3,1,1,2,6,0,20,0
"248",1,3,1,1,2,7,0,20,0
"249",1,3,1,1,2,8,0,20,0
"250",1,3,1,1,2,9,0,20,0
"251",1,3,1,1,2,10,0,20,0
"252",1,3,1,1,2,11,0,20,0
"253",1,3,1,1,2,12,0,20,0
"254",1,3,1,1,2,13,0,20,0
"255",1,3,1,1,2,14,0,20,0
"256",1,3,1,1,2,15,0,20,0
"257",1,3,1,1,2,16,0,20,0
"258",1,3,1,1,2,17,0,20,0
"259",1,3,1,1,2,18,0,20,0
"260",1,3,1,1,2,19,0,20,0
"261",1,3,1,1,2,20,0,20,0
"262",1,3,1,1,2,21,0,20,0
"263",1,3,1,1,3,1,0,20,0.000517799352750809
"264",1,3,1,1,3,2,0,20,0
"265",1,3,1,1,3,3,0,20,0
"266",1,3,1,1,3,4,0,20,0
"267",1,3,1,1,3,5,0,20,0
"268",1,3,1,1,3,6,0,20,0
"269",1,3,1,1,3,7,0,20,0
"270",1,3,1,1,3,8,0,20,0
"271",1,3,1,1,3,9,0,20,0
"272",1,3,1,1,3,10,0,20,0
"273",1,3,1,1,3,11,0,20,0
"274",1,3,1,1,3,12,0,20,0
"275",1,3,1,1,3,13,0,20,0
"276",1,3,1,1,3,14,0,20,0
"277",1,3,1,1,3,15,0,20,0
"278",1,3,1,1,3,16,0,20,0
"279",1,3,1,1,3,17,0,20,0
"280",1,3,1,1,3,18,0,20,0
"281",1,3,1,1,3,19,0,20,0
"282",1,3,1,1,3,20,0,20,0
"283",1,3,1,1,3,21,0,20,0
"284",1,3,1,1,4,1,0,20,2.98764381745694e-05
"285",1,3,1,1,4,2,0,20,0
"286",1,3,1,1,4,3,0,20,0
"287",1,3,1,1,4,4,0,20,0
"288",1,3,1,1,4,5,0,20,0
"289",1,3,1,1,4,6,0,20,0
"290",1,3,1,1,4,7,0,20,0
"291",1,3,1,1,4,8,0,20,0
"292",1,3,1,1,4,9,0,20,0
"293",1,3,1,1,4,10,0,20,0
"294",1,3,1,1,4,11,0,20,0
"295",1,3,1,1,4,12,0,20,0
"296",1,3,1,1,4,13,0,20,0
"297",1,3,1,1,4,14,0,20,0
"298",1,3,1,1,4,15,0,20,0
"299",1,3,1,1,4,16,0,20,0
"300",1,3,1,1,4,17,0,20,0
"301",1,3,1,1,4,18,0,20,0
"302",1,3,1,1,4,19,0,20,0
"303",1,3,1,1,4,20,0,20,0
"304",1,3,1,1,4,21,0,20,0
"305",1,3,1,1,5,1,0,20,0.000433199045493629
"306",1,3,1,1,5,2,0,20,0
"307",1,3,1,1,5,3,0,20,0
"308",1,3,1,1,5,4,0,20,0
"309",1,3,1,1,5,5,0,20,0
"310",1,3,1,1,5,6,0,20,0
"311",1,3,1,1,5,7,0,20,0
