,Year,JuvPollock_biomass,AdultPollock_biomass,JuvATF_biomass,AdultATF_biomass,JuvPollock_BiomassConsBy_JuvATF,JuvPollock_BiomassConsBy_AdultATF,AdultPollock_BiomassConsBy_JuvATF,AdultPollock_BiomassConsBy_AdultATF
1,1977,1318929.8,2058811.787,208141.9878,1264184.074,8948.718903,388624.9285,0.104226123,142083.7931
2,1978,1515579.328,2664674.318,234080.4059,1225027.868,10569.32607,409716.4189,0.252686927,214083.8969
3,1979,2076544.398,3534432.003,270407.3933,1208617.166,21261.18067,545832.7859,0.368141369,266300.1128
4,1980,2226880.739,4484022.31,274388.633,1223739.006,12717.39239,494604.6638,0.534627489,301710.9707
5,1981,1198871.855,6526855.144,226526.9274,1270347.234,7232.077586,303432.1656,0.853187917,482877.9131
6,1982,808479.0819,6866986.747,189775.2571,1288342.405,4461.258918,199892.1947,0.306651897,351837.0954
7,1983,700558.3332,6478253.401,185362.2594,1271970.042,3132.624247,188861.7423,0.253549684,315088.7418
8,1984,767754.7133,5839496.865,232852.9581,1238774.765,6460.982988,237391.4369,0.206366714,266759.9281
9,1985,1207686.238,5007781.801,443080.6013,1209887.026,16046.3616,356905.038,0.17376304,192581.9723
10,1986,1255566.397,4508230.158,532198.9361,1253006.444,10966.43565,303841.5785,0.550629154,193340.5282
11,1987,402725.8519,5041445.013,365532.2407,1535044.577,2083.113282,112037.3388,0.570455584,303899.4188
12,1988,384452.954,4747187.043,418843.3419,1631230.35,5719.022258,140837.9473,0.181339474,217784.0433
13,1989,978037.4162,4170009.706,451606.4974,1704863.733,19485.44881,363773.1212,0.228941466,145318.3789
14,1990,1625410.296,3809486.638,354693.9265,1867445.295,16148.09806,553847.0678,0.147527477,125632.1347
15,1991,1112956.184,4351927.95,394036.8266,1928375.201,8091.672335,444676.12,0.432629614,282699.8365
16,1992,543456.351,4507288.178,442116.2446,1920254.154,6979.908472,220781.5518,0.457962337,269358.2164
17,1993,378255.8033,4325256.201,332469.784,2001413.186,3483.667768,154982.5217,0.254987406,231933.5272
18,1994,261111.2467,3776241.595,274273.1875,2010078.476,2084.041488,115540.363,0.122446654,188701.0892
19,1995,603146.7703,3168442.469,295301.2141,1928532.98,7919.353338,286753.8318,0.071853931,139989.2222
20,1996,572992.9934,2694389.895,308838.598,1863091.923,3864.330674,234013.9529,0.065676785,124591.8584
21,1997,309432.5916,2667580.608,368664.4939,1806118.577,1621.237496,119413.6102,0.196831075,201843.3201
22,1998,187131.8245,2588358.915,505967.2661,1761432.749,2489.52329,83287.39185,0.168658192,211046.9466
23,1999,187375.8583,2013620.88,516605.9193,1812050.13,2645.35645,75138.80796,0.156618962,131614.6416
24,2000,414208.0632,1853153.202,632314.6378,1954415.577,8506.868015,191185.5285,0.092588725,111539.7919
25,2001,731880.372,1778956.8,657830.3227,1996361.738,21765.38199,316584.872,0.202386216,107368.7022
26,2002,595428.7177,2095323.187,350064.0287,2359408.092,1474.878448,205038.3199,0.209539878,181633.8487
27,2003,202772.3961,2480384.318,418821.8346,2317996.939,2495.806025,98460.31436,0.38112122,266453.4074
28,2004,148526.2869,2089162.996,439333.4799,2322368.605,1562.253935,72910.80885,0.101892617,149941.8776
29,2005,195097.1621,1775960.926,462872.2083,2315694.159,3401.224983,107923.85,0.111102353,109196.2054
30,2006,522248.2241,1560491.284,439194.9694,2330746.114,8730.113075,285102.7541,0.03501246,78088.73484
31,2007,765347.7176,1479733.737,363320.8521,2307207.398,6586.163242,348233.5133,0.062515835,77746.35686
