"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2015,278914,167824.125576541,463538.95263122,-0.455702,-0.756095880090531,-0.155308119909469
2016,271411,173052.936654226,425672.816337041,-0.482971,-0.727080594346495,-0.238861405653505
2017,293611,198033.455188558,435317.452997614,-0.40435,-0.606034213937141,-0.202665786062859
2018,208612,139048.132451645,312977.713376582,-0.746131,-0.976152373225621,-0.516109626774379
2019,171594,112590.524949012,261518.461250042,-0.941475,-1.20646605063778,-0.676483949362216
2020,187267,121392.048513327,288889.838490121,-0.854071,-1.13761310975146,-0.570528890248544
2021,217044,134128.239136203,351216.852166106,-0.706508,-1.05933091667698,-0.353685083323022
2022,212307,117738.386684014,382834.040099175,-0.749394,-1.22476366481034,-0.274024335189655
2023,410739,173089.503038536,974677.973877132,-0.144348,-0.949097452268239,0.660401452268239
2024,480494,193718.016507343,1191806.97902329,0,-0.862384153197624,0.862384153197624
2025,517216,348334.630095965,767975.296002872,0,0,0
