"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"32474",1,1,1,1,1,1,1,1977,1,1977.5,"M","TIME",78560.1,37289.1,29501,19269.2,18746.8,12862.7,7540.01,7038.45,4058.4,2979.2,2125.84,1636.98,1338.22,906.05,793.157,306.721,723.112,254.282,153.717,202.408,231.447,93.2352,137.45,116.557,76.2728,43.7526,82.8047,41.3452,28.673,22.2622,148.874
"32476",1,1,1,1,1,1,1,1978,1,1978.5,"M","TIME",35351.6,65026.6,30854.6,24365.7,15850.6,15369.1,10532.1,6161.14,5720.69,3265.75,2366.75,1673.89,1286.32,1052.19,712.904,625.338,243.078,577.465,204.599,124.413,164.498,188.643,76.1614,112.489,95.5456,62.6111,35.9586,68.1211,34.0408,23.6223,141.086
"32478",1,1,1,1,1,1,1,1979,1,1979.5,"M","TIME",70291.4,29261.6,53802.9,25476.5,20030,12986.2,12577.9,8604.22,5008.8,4605.69,2594.88,1862.85,1315.15,1011.29,827.854,561.855,495.271,193.963,464.237,165.455,101.031,133.98,154.001,62.2974,92.1699,78.4032,51.4425,29.5752,56.076,28.0406,135.772
"32480",1,1,1,1,1,1,1,1980,1,1980.5,"M","TIME",63226,58182.4,24209.7,44409.6,20922.7,16386.1,10611.5,10262.8,6992.11,4036.35,3665.94,2043.69,1462.73,1033.43,795.356,651.995,444.404,394.62,155.75,375.157,134.317,82.282,109.385,125.99,51.0574,75.6581,64.4434,42.3301,24.3584,46.2181,135.12
"32482",1,1,1,1,1,1,1,1981,1,1981.5,"M","TIME",28172.7,52334.2,48143.4,19995.1,36518.6,17135.5,13402.6,8666.02,8347.4,5641.43,3218.3,2891.86,1605.62,1149.62,812.895,626.415,515.507,353.941,316.875,125.934,304.845,109.515,67.2541,89.5848,103.36,41.9482,62.2377,53.0675,34.8874,20.0892,149.663
"32484",1,1,1,1,1,1,1,1982,1,1982.5,"M","TIME",38053.9,23319.4,43307.8,39784.3,16469.9,29991,14058.1,10979.4,7071.06,6755.46,4508.6,2541.24,2271.69,1261.17,903.597,639.568,494.659,410.165,284.124,256.307,102.41,248.774,89.5859,55.1169,73.5304,84.9481,34.5143,51.2555,43.7362,28.7699,140.077
"32486",1,1,1,1,1,1,1,1983,1,1983.5,"M","TIME",61416.2,31498.4,19298.4,35801,32805.8,13549.9,24651.6,11536.8,8971.33,5725.87,5394.75,3552.38,1989.8,1777.56,987.446,708.173,503.143,392.217,328.317,229.303,208.058,83.4428,203.201,73.3092,45.1707,60.3384,69.7828,28.3779,42.1729,36.0064,139.087
"32488",1,1,1,1,1,1,1,1984,1,1984.5,"M","TIME",48009.8,50836.1,26067.7,15956.1,29537.7,27015.5,11148.3,20242.9,9425.42,7254.78,4559.62,4233.09,2767.94,1549.28,1384.72,770.035,554.604,397.469,313.035,264.349,185.772,169.235,68.0544,166.061,60.0095,37.028,49.5202,57.3273,23.3311,34.694,144.133
"32490",1,1,1,1,1,1,1,1985,1,1985.5,"M","TIME",34119.1,39739.2,42073.2,21558.9,13174,24347.7,22248.9,9161.53,16539.6,7609.88,5751.06,3551.63,3272.79,2138.73,1197.74,1071.58,598.729,435.57,315.873,251.291,213.711,150.871,137.863,55.5678,135.853,49.1739,30.3839,40.6806,47.1368,19.1973,147.246
"32492",1,1,1,1,1,1,1,1986,1,1986.5,"M","TIME",35758.6,28241.4,32888.9,34795.7,17802,10864,20062.1,18292.6,7487.33,13341.3,6005.52,4433.42,2708.02,2492.94,1630.12,913.756,821.75,464.609,342.9,251.775,202.048,172.788,122.43,112.182,45.3192,111.012,40.2481,24.9024,33.3777,38.7076,136.798
