Species,Sex,Species_name,Age,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0,Pollock,1,1.488736311,1.489489339,1.542454605,1.509849511,1.612361871,1.4299397,1.528203442,1.789568865,1.484293142,1.498520238,1.210280411,1.376667645,1.301818639,1.494432969,1.447171349,1.501956846,1.402146582,1.29633366,1.251262577,1.196393507,1.122558933,1.216898568,1.041201388,1.136263182,1.245866089,1.367374458,1.646850611,1.35445751,1.114642021,1.063869485,0.986830757,1.00993507,0.988654821,1.149654204,1.143279005,1.028256372,0.927370067,1.150320762,1.392056869,1.414625607,1.433149026,1.394819537
1,0,Pollock,2,0.253622293,0.253622293,0.262508221,0.256829428,0.274128605,0.242991111,0.259558211,0.249086945,0.251846246,0.254132191,0.272913785,0.263415222,0.24896818,0.252476367,0.25144981,0.260837925,0.251230219,0.220677881,0.212898556,0.188495804,0.212444281,0.230182793,0.233684952,0.217101471,0.201963663,0.236061492,0.294648719,0.274859822,0.272470003,0.254878987,0.230908791,0.267973843,0.288954023,0.322083466,0.308236505,0.292226697,0.28170639,0.294983105,0.312410834,0.310920698,0.309148102,0.300730856
1,0,Pollock,3,0.53685244,0.53685244,0.55566164,0.543641112,0.580258971,0.514348992,0.549417235,0.585298695,0.533093011,0.537931762,0.513105792,0.466712065,0.441115181,0.418993601,0.482055563,0.50005356,0.54245128,0.491418953,0.474095479,0.440665993,0.458958963,0.497280771,0.475313856,0.4907242,0.513802566,0.516584479,0.584059909,0.536923679,0.523454737,0.476285168,0.41624448,0.483446541,0.521557485,0.56099982,0.517288041,0.499544759,0.491326822,0.501505203,0.516530886,0.597867834,0.663684757,0.64561446
1,0,Pollock,4,0.631990491,0.631990491,0.654132956,0.639982214,0.683089291,0.605499106,0.646781951,0.659395358,0.627564838,0.633261085,0.638781175,0.611996048,0.578431045,0.582267252,0.619446533,0.642574151,0.658227204,0.663783545,0.640383884,0.675370596,0.644421922,0.698229376,0.61017065,0.642668181,0.684829672,0.625340382,0.642975059,0.632577734,0.661470833,0.634421,0.591731846,0.666718629,0.705148178,0.742575286,0.66803377,0.698722369,0.739147348,0.703224142,0.65942294,0.676673195,0.691172349,0.672353641
1,0,Pollock,5,0.708734756,0.708734756,0.733566037,0.717696935,0.766038616,0.679026452,0.725322381,0.701207578,0.703771683,0.710159641,0.757403668,0.726447073,0.686604989,0.691928931,0.703354476,0.729614876,0.717428654,0.743507545,0.717297458,0.775408828,0.724110426,0.78457165,0.667243501,0.727487985,0.797004492,0.719152438,0.728881579,0.720282958,0.756201097,0.780629348,0.781882491,0.807770285,0.797682573,0.860511233,0.79603256,0.814072596,0.845372679,0.832653131,0.820664349,0.769747679,0.719716502,0.700120615
1,0,Pollock,6,7.411357836,7.415106626,7.678782966,7.516465423,8.026801459,7.118651388,7.607836577,7.259924659,7.389238464,7.460065044,8.060485974,7.708244248,7.289149324,7.323701248,7.450727092,7.732788914,7.609787922,7.738162501,7.469121146,7.939071325,7.468177592,8.095801792,6.949778911,7.627830268,8.399548505,7.777978062,8.126022316,7.774151108,7.914713849,8.357705717,8.528233017,9.016214701,9.086314717,9.918599735,9.292904312,9.078852204,9.036603735,9.038440653,9.085014164,8.443207935,7.808126629,7.599298731
1,0,Pollock,7,0.661144416,0.661144416,0.68430832,0.6695048,0.71460042,0.633430975,0.676618211,0.641628546,0.656514606,0.662473623,0.719144141,0.707180142,0.668394756,0.689927099,0.687017995,0.712668457,0.686308939,0.687209317,0.662983852,0.6944494,0.656929754,0.711781577,0.615454997,0.680775462,0.753832738,0.709218781,0.753813045,0.701212341,0.692943061,0.750268362,0.780071486,0.818583119,0.819653058,0.887528965,0.82439954,0.805487993,0.801820366,0.81287395,0.83062439,0.779247512,0.728769972,0.708927585
1,0,Pollock,8,0.82960305,0.82960305,0.858669082,0.840093648,0.896679565,0.794828264,0.849019545,0.806757712,0.823793571,0.831270937,0.900747334,0.877633045,0.829499146,0.848881744,0.890744837,0.924001633,0.935513551,0.907310139,0.875325693,0.887074381,0.86418459,0.936341622,0.838149576,0.914270158,1.002004235,0.90514626,0.918666485,0.896564407,0.930581845,0.965945589,0.971976603,1.042255751,1.062591413,1.144482368,1.056882869,1.0202256,1.003022666,1.024107529,1.05515244,1.013142682,0.972206338,0.945735853
1,0,Pollock,9,0.853876512,0.853876512,0.88379299,0.864674055,0.922915627,0.818084246,0.873861116,0.820855049,0.847897052,0.8555932,0.936484184,0.924035968,0.873357096,0.904290604,0.930564715,0.965308223,0.960334867,0.931011404,0.898191442,0.909847423,0.906954842,0.982683072,0.901348698,0.920836338,0.954774425,0.926105838,1.014542241,0.953509903,0.952967936,1.028634582,1.067104554,1.107636873,1.098475516,1.218434424,1.160444075,1.087335292,1.034074509,1.051751522,1.078825908,1.021788172,0.966015973,0.939714035
1,0,Pollock,10,0.918700155,0.918700155,0.9508878,0.930317414,0.992980505,0.880190652,0.940201928,0.908527704,0.912266753,0.920547169,0.982212707,0.98466404,0.930660013,0.977220869,0.975389939,1.011807039,0.976782965,0.974590548,0.940234336,0.981427234,0.955352247,1.035121526,0.92576209,0.969286938,1.027615645,0.98637399,1.06982138,1.025700205,1.046502447,1.06887575,1.060806894,1.114950897,1.117940618,1.240379269,1.181679161,1.156291415,1.152745984,1.134091146,1.116043489,1.083992978,1.052651032,1.023990261
