"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.04210352,0.06131357,0.10905985,0.15694148,0.18272089,0.1721162,0.13117052,0.08087641,0.04034238,0.01627912,0.00531373,0.00140291,0.00029956,5.17e-05,7.22e-06,8.2e-07,7e-08,1e-08,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00876856,0.01780824,0.04126058,0.0789033,0.12454238,0.16226067,0.17449803,0.15489981,0.11349878,0.06864409,0.03426681,0.01411838,0.00480081,0.00134721,0.00031198,5.96e-05,9.4e-06,1.22e-06,1.3e-07,1e-08,0,0,0,0,0,0,0,0,0,0
"3",0.00212074,0.00536728,0.01492435,0.03468312,0.06736583,0.10936383,0.14839891,0.16831283,0.15956438,0.12644038,0.08374554,0.04636121,0.02145125,0.00829544,0.00268099,0.0007241,0.00016343,3.08e-05,4.86e-06,6.4e-07,7e-08,1e-08,0,0,0,0,0,0,0,0
"4",0.00063011,0.00185376,0.00586383,0.01564045,0.03517839,0.06672298,0.10672329,0.14395801,0.16376115,0.15710383,0.12710502,0.08672309,0.04989946,0.0242123,0.009907,0.00341821,0.00099446,0.00024394,5.05e-05,8.8e-06,1.29e-06,1.6e-07,2e-08,0,0,0,0,0,0,0
"5",0.00023177,0.00075658,0.00262259,0.0077178,0.01928236,0.04090212,0.07366513,0.11264659,0.14625846,0.16124083,0.15093216,0.11996102,0.08095551,0.04638677,0.02256703,0.00932128,0.00326877,0.00097316,0.00024596,5.28e-05,9.61e-06,1.49e-06,1.9e-07,2e-08,0,0,0,0,0,0
"6",0.00010391,0.00036429,0.00134698,0.00425126,0.01145344,0.02634085,0.05171432,0.08667402,0.12401424,0.151483,0.15796795,0.14063306,0.10688518,0.06935139,0.0384144,0.01816459,0.00733229,0.00252652,0.00074312,0.00018657,4e-05,7.31e-06,1.14e-06,1.5e-07,2e-08,0,0,0,0,0
"7",5.54e-05,0.00020367,0.00078756,0.00261119,0.00742338,0.01809635,0.03782824,0.06780902,0.10423471,0.13740316,0.15532605,0.15057632,0.12517958,0.08924261,0.05455924,0.02860324,0.01285892,0.00495708,0.00163858,0.00046442,0.00011286,2.35e-05,4.2e-06,6.4e-07,8e-08,1e-08,0,0,0,0
"8",3.41e-05,0.00012948,0.00051598,0.0017698,0.00522494,0.01327749,0.02904284,0.05468395,0.08863112,0.1236585,0.14851738,0.15354953,0.13665893,0.10469945,0.06905009,0.03920058,0.01915676,0.00805832,0.00291776,0.00090934,0.00024393,5.63e-05,1.12e-05,1.91e-06,2.8e-07,4e-08,0,0,0,0
"9",2.37e-05,9.16e-05,0.00037216,0.0013056,0.00395534,0.01034814,0.02338065,0.04562211,0.07688228,0.11189618,0.14065226,0.15269448,0.14316805,0.11593491,0.08108215,0.04897507,0.02554804,0.01150975,0.00447807,0.0015046,0.00043656,0.00010938,2.37e-05,4.42e-06,7.1e-07,1e-07,1e-08,0,0,0
"10",1.81e-05,7.07e-05,0.00029055,0.00103371,0.00318508,0.00849961,0.01964466,0.03932473,0.06818204,0.10239133,0.13318332,0.15004891,0.14642444,0.12376325,0.09060776,0.05745544,0.03155616,0.01501128,0.00618478,0.00220696,0.00068205,0.00018255,4.23e-05,8.49e-06,1.48e-06,2.2e-07,3e-08,0,0,0
"11",1.5e-05,5.86e-05,0.00024185,0.00086711,0.00269929,0.00729614,0.01712441,0.03489988,0.06176265,0.09491335,0.12665795,0.14677243,0.14769468,0.12906061,0.09793312,0.06453118,0.03692406,0.01834608,0.00791524,0.00296527,0.00096457,0.00027243,6.68e-05,1.42e-05,2.63e-06,4.2e-07,6e-08,1e-08,0,0
"12",1.31e-05,5.13e-05,0.00021189,0.00076196,0.00238452,0.00649435,0.01539375,0.0317567,0.05701848,0.08910273,0.12118975,0.14346413,0.1478172,0.1325596,0.10346675,0.07028965,0.04156035,0.02138745,0.00957909,0.00373394,0.00126672,0.00037398,9.61e-05,2.15e-05,4.18e-06,7.1e-07,1e-07,1e-08,0,0
"13",1.21e-05,4.69e-05,0.00019331,0.00069477,0.0021777,0.00595278,0.01419112,0.02950511,0.05350174,0.08461245,0.11670803,0.14040102,0.1473142,0.13481068,0.10759905,0.07490225,0.04547579,0.02408018,0.01112059,0.00447896,0.00157326,0.00048193,0.00012874,3e-05,6.09e-06,1.08e-06,1.7e-07,2e-08,0,0
"14",1.16e-05,4.44e-05,0.00018202,0.00065222,0.00204196,0.00558584,0.01335136,0.0278848,0.05088859,0.08115021,0.11307835,0.13768696,0.14649795,0.13620599,0.11065885,0.07855963,0.0487341,0.02641694,0.01251246,0.00517853,0.00187269,0.00059172,0.00016336,3.94e-05,8.3e-06,1.53e-06,2.5e-07,3e-08,0,0
"15",1.13e-05,4.31e-05,0.00017566,0.00062635,0.00195478,0.00533973,0.01276708,0.02671904,0.04894561,0.07848299,0.11015653,0.13533833,0.14554895,0.13701738,0.11290678,0.08144052,0.05142026,0.02841824,0.01374752,0.00582116,0.00215747,0.00069988,0.00019872,4.94e-05,1.07e-05,2.04e-06,3.4e-07,5e-08,1e-08,0
"16",1.14e-05,4.27e-05,0.00017276,0.00061219,0.0019018,0.00517942,0.01236639,0.02588548,0.04750366,0.07642943,0.10781042,0.13333078,0.14456774,0.1374309,0.11454311,0.08369964,0.05362232,0.03011836,0.01483118,0.00640285,0.00242336,0.00080408,0.00023389,5.96e-05,1.33e-05,2.61e-06,4.5e-07,7e-08,1e-08,0
"17",1.16e-05,4.3e-05,0.00017237,0.00060649,0.00187352,0.00508132,0.0120999,0.02529778,0.04643908,0.07484976,0.10592697,0.13162396,0.14360756,0.13757337,0.1157193,0.08546536,0.05542235,0.03155635,0.01577578,0.00692456,0.0026686,0.00090294,0.00026823,7e-05,1.6e-05,3.22e-06,5.7e-07,9e-08,1e-08,0
"18",1.2e-05,4.38e-05,0.00017386,0.00060705,0.00186345,0.00502905,0.0119328,0.02489384,0.04566051,0.07363654,0.10441275,0.1301739,0.14269421,0.13753129,0.11654915,0.08684161,0.05689255,0.03277091,0.01659674,0.00739015,0.00289317,0.00099581,0.00030134,8.02e-05,1.88e-05,3.86e-06,7e-07,1.1e-07,2e-08,0
"19",1.24e-05,4.49e-05,0.0001768,0.00061235,0.00186699,0.00501099,0.01184003,0.02462831,0.0450998,0.07270718,0.10319205,0.12893896,0.14183804,0.13736392,0.11711803,0.08791132,0.0580943,0.03379768,0.01731014,0.00780495,0.00309805,0.00108256,0.000333,9.02e-05,2.15e-05,4.51e-06,8.3e-07,1.4e-07,2e-08,0
"20",1.3e-05,4.64e-05,0.00018086,0.00062125,0.00188082,0.00501867,0.01180323,0.02446755,0.04470562,0.071998,0.10220422,0.12788214,0.14104098,0.1371121,0.11749006,0.08874016,0.0590787,0.03466811,0.0179314,0.00817482,0.00328486,0.00116338,0.00036315,9.99e-05,2.42e-05,5.18e-06,9.7e-07,1.6e-07,2e-08,0
"21",1.37e-05,4.81e-05,0.00018581,0.00063295,0.00190248,0.00504579,0.01180872,0.02438631,0.044439,0.07145981,0.10140096,0.12697185,0.14030064,0.13680417,0.11771353,0.08937987,0.05988765,0.03540921,0.0184745,0.00850555,0.00345541,0.00123868,0.00039181,0.00010935,2.69e-05,5.85e-06,1.12e-06,1.9e-07,3e-08,0
"22",1.44e-05,5.01e-05,0.00019146,0.0006468,0.00193011,0.00508763,0.01184617,0.02436546,0.04427016,0.07105449,0.10074398,0.12618168,0.13961264,0.13645991,0.11782494,0.0898711,0.06055524,0.03604371,0.01895176,0.00880254,0.00361159,0.00130893,0.00041904,0.0001185,2.96e-05,6.53e-06,1.27e-06,2.2e-07,3e-08,0
"23",1.52e-05,5.22e-05,0.00019768,0.00066234,0.0019623,0.00514058,0.01190771,0.02439039,0.04417621,0.07075243,0.10020298,0.12548987,0.13897192,0.13609321,0.11785194,0.09024579,0.061109,0.03659054,0.01937378,0.00907063,0.0037552,0.00137466,0.00044496,0.00012735,3.22e-05,7.21e-06,1.43e-06,2.5e-07,4e-08,0
"24",1.61e-05,5.44e-05,0.00020434,0.00067917,0.00199792,0.00520185,0.0119873,0.02444987,0.04413948,0.07053058,0.09975401,0.12487866,0.1383734,0.13571386,0.11781561,0.09052897,0.06157107,0.0370653,0.01974953,0.00931409,0.00388788,0.00143638,0.00046968,0.00013593,3.48e-05,7.89e-06,1.58e-06,2.8e-07,4e-08,0
"25",1.7e-05,5.68e-05,0.00021137,0.00069701,0.00203613,0.00526927,0.01208028,0.02453522,0.04414629,0.07037097,0.09937816,0.12433364,0.13781236,0.13532878,0.117732,0.09074032,0.06195921,0.03748078,0.02008655,0.00953657,0.00401111,0.00149457,0.00049333,0.00014426,3.74e-05,8.57e-06,1.74e-06,3.1e-07,5e-08,0
