"","nll","aic","daic"
"1",4181,9337,0
"2",4404,9783,446
"3",4506,9989,652
"4",4506,9987,650
"5",4507,9991,654
"6",4499,9974,637
"7",4499,9973,636
"8",4500,9975,638
