"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","Survey biomass","242.268286119586","234.948590253331","251.355538601693","251.549854376129","251.09287742614","249.768454601612","250.003431036099","249.447212804388","223.496681303513","215.499388598622","217.039517515087","217.368806389259","217.121457976865"
"2","Total catch","-411.426429183988","-411.401852475639","-411.251529356839","-411.251826576385","-411.251277354378","-411.261154109885","-411.258153030332","-411.261727573951","-266.641361071888","-266.891429757638","-266.810588643337","-266.781263908678","-266.825693249724"
"3","Age/length composition data","3790.09541595385","3808.20837484844","3828.60528467211","3828.50351167699","3828.86806898815","3821.44387672016","3821.57579684215","3821.59308512586","6230.34827372296","6228.18961531491","6224.26731206549","6222.63598238388","6226.97025374167"
"4","Non-parametric selectivity","165.168642676271","170.594732138737","184.704243790626","184.623202581017","184.803079187229","185.350039685025","185.289005446691","185.438581269945","154.563819888751","162.234512216225","168.25034672719","169.023346516142","161.489511992599"
"5","Selectivity random walk deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Selectivity random effect deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Selectivity normalization","1.68919574596927e-09","9.30023592403526e-08","6.0557089208555e-08","2.18941191613366e-08","1.34490839990825e-08","3.38730408974192e-08","4.1426053580517e-08","5.539499800681e-09","8.70797320991108e-12","1.45043999307331e-06","2.8297885600873e-10","2.3754082855744e-10","6.83039732929039e-10"
"8","Catchability random walk deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Catchability random effect deviates","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Recruitment deviates","176.903514538458","198.634625501008","191.400185241365","191.603191579563","191.147094888608","191.032564709199","191.131235258957","190.622269323024","107.762745153767","126.547284158799","118.80069773846","117.955918291357","126.059178224358"
"11","Initial abundance deviates","86.5479013098141","267.519245245236","320.910127705129","319.991975644437","322.154466036959","321.919029979275","321.014149005294","323.233773851267","58.3889162057593","233.622303396064","268.315460209679","271.415149391321","233.702545287727"
"12","Fishing mortality deviates","130.966656379402","135.101762916893","140.638071902096","140.679961496964","140.575817741454","140.731255978346","140.783383667469","140.651378754526","29.4088602119386","30.2578214188934","30.5850762872337","30.6314696690576","30.3022051970466"
"13","SPR Calculation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Zero n-at-age penalty","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Ration","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Ration penalties","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Stomach content weight","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Stomach content numbers","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","k","488","488","488","488","488","488","488","488","370","370","370","370","371"
