ParName   Value   Gradient
mean_log_rec      6.12005 -1.42605e-05
log_Rzero      6.20506 -1.26421e-06
rec_dev(1967)   -0.0588536 -3.70309e-07
rec_dev(1968)   -0.0778986   9.6699e-06
rec_dev(1969)    -0.109194 -3.31105e-06
rec_dev(1970)    -0.159661  1.01386e-05
rec_dev(1971)    -0.260066  1.04778e-05
rec_dev(1972)    -0.410811  8.00154e-06
rec_dev(1973)    -0.226719  2.56254e-05
rec_dev(1974)     -0.28794  2.73186e-05
rec_dev(1975)     0.376537  8.63127e-05
rec_dev(1976)     0.514863  0.000114201
rec_dev(1977)    -0.246838  3.89538e-05
rec_dev(1978)      1.49533  0.000156215
rec_dev(1979)       0.1151  2.87974e-05
rec_dev(1980)    -0.408779  6.80435e-06
rec_dev(1981)    -0.321178  6.44552e-06
rec_dev(1982)    -0.762175 -5.09784e-06
rec_dev(1983)    -0.457583 -1.90049e-05
rec_dev(1984)    -0.377671 -4.55561e-05
rec_dev(1985)    0.0880236 -0.000103774
rec_dev(1986)   -0.0587606 -8.33304e-05
rec_dev(1987)     0.250277 -0.000117785
rec_dev(1988)    0.0275944 -8.45036e-05
rec_dev(1989)     0.948845 -0.000139977
rec_dev(1990)     0.213633 -4.82946e-05
rec_dev(1991)    -0.318637 -2.10493e-05
rec_dev(1992)     0.121329 -1.79989e-05
rec_dev(1993)     0.630833  -2.1026e-05
rec_dev(1994)    -0.289478  5.34063e-06
rec_dev(1995)    -0.306746  3.26333e-05
rec_dev(1996)     0.639804  0.000131288
rec_dev(1997)    -0.823409  4.47379e-05
rec_dev(1998)    -0.392966  3.58182e-05
rec_dev(1999)     0.456258  4.24329e-06
rec_dev(2000)      1.27356 -0.000105673
rec_dev(2001)     0.845226 -7.93791e-05
rec_dev(2002)      0.95974 -8.80879e-05
rec_dev(2003)    -0.573581 -1.51389e-05
rec_dev(2004)    -0.284117 -2.96111e-05
rec_dev(2005)    0.0128925 -2.81821e-05
rec_dev(2006)    -0.351027 -8.93181e-06
rec_dev(2007)     0.625493  6.60368e-06
rec_dev(2008)     0.469294  3.25854e-05
rec_dev(2009)    -0.700474  1.19263e-05
rec_dev(2010)    0.0739808   1.9175e-05
rec_dev(2011)    -0.258608  -1.8782e-06
rec_dev(2012)     0.173237   1.1285e-05
rec_dev(2013)     0.788648 -3.60639e-05
rec_dev(2014)     0.434938 -3.79512e-05
rec_dev(2015)    -0.835967 -3.60655e-06
