"","Pred","Prey","Pred_sex","Prey_sex","Pred_age","Prey_age","Year","Sample_size","Stomach_proportion_by_weight"
"1",1,1,0,0,1,1,0,20,0.00360073933887483
"2",1,1,0,0,1,2,0,20,0
"3",1,1,0,0,1,3,0,20,0
"4",1,1,0,0,1,4,0,20,0
"5",1,1,0,0,1,5,0,20,0
"6",1,1,0,0,1,6,0,20,0
"7",1,1,0,0,1,7,0,20,0
"8",1,1,0,0,1,8,0,20,0
"9",1,1,0,0,1,9,0,20,0
"10",1,1,0,0,1,10,0,20,0
"11",1,1,0,0,2,1,0,20,0.00520296533497623
"12",1,1,0,0,2,2,0,20,0
"13",1,1,0,0,2,3,0,20,0
"14",1,1,0,0,2,4,0,20,0
"15",1,1,0,0,2,5,0,20,0
"16",1,1,0,0,2,6,0,20,0
"17",1,1,0,0,2,7,0,20,0
"18",1,1,0,0,2,8,0,20,0
"19",1,1,0,0,2,9,0,20,0
"20",1,1,0,0,2,10,0,20,0
"21",1,1,0,0,3,1,0,20,0.00841231584853586
"22",1,1,0,0,3,2,0,20,0
"23",1,1,0,0,3,3,0,20,0
"24",1,1,0,0,3,4,0,20,0
"25",1,1,0,0,3,5,0,20,0
"26",1,1,0,0,3,6,0,20,0
"27",1,1,0,0,3,7,0,20,0
"28",1,1,0,0,3,8,0,20,0
"29",1,1,0,0,3,9,0,20,0
"30",1,1,0,0,3,10,0,20,0
"31",1,1,0,0,4,1,0,20,0.00681097768668918
"32",1,1,0,0,4,2,0,20,0
"33",1,1,0,0,4,3,0,20,0
"34",1,1,0,0,4,4,0,20,0
"35",1,1,0,0,4,5,0,20,0
"36",1,1,0,0,4,6,0,20,0
"37",1,1,0,0,4,7,0,20,0
"38",1,1,0,0,4,8,0,20,0
"39",1,1,0,0,4,9,0,20,0
"40",1,1,0,0,4,10,0,20,0
"41",1,1,0,0,5,1,0,20,0.0133593207338498
"42",1,1,0,0,5,2,0,20,0
"43",1,1,0,0,5,3,0,20,0
"44",1,1,0,0,5,4,0,20,0
"45",1,1,0,0,5,5,0,20,0
"46",1,1,0,0,5,6,0,20,0
"47",1,1,0,0,5,7,0,20,0
"48",1,1,0,0,5,8,0,20,0
"49",1,1,0,0,5,9,0,20,0
"50",1,1,0,0,5,10,0,20,0
"51",1,1,0,0,6,1,0,20,0.00617445152763574
"52",1,1,0,0,6,2,0,20,0
"53",1,1,0,0,6,3,0,20,0
"54",1,1,0,0,6,4,0,20,0
"55",1,1,0,0,6,5,0,20,0
