Scenario, Year, SSB, Catch, R, SER
1,2025,2680.02,10,29863.1,0.00135214
1,2026,2862.83,10.6651,29297.6,0.00134385
1,2027,3182.67,11.1541,29707.3,0.00119298
1,2028,3767.15,12.3329,30149,0.001115
1,2029,4385.71,14.0889,30210.2,0.00112666
2,2025,2644.8,325,29863.1,0.0438574
2,2026,2703.49,327.354,29204.3,0.0424659
2,2027,2915.54,327.162,29357.2,0.0366317
2,2028,3409.33,350.852,29803.2,0.033521
2,2029,3941.12,393.048,30275.9,0.033463
3,2025,2606.81,650,29863.1,0.0875257
3,2026,2542.74,615.808,29098.1,0.0823871
3,2027,2663.6,588.112,28906,0.0689434
3,2028,3090.8,614.428,29254.7,0.0619048
3,2029,3561.08,679.627,30055.5,0.0613859
4,2025,2566.97,975,29863.1,0.13099
4,2026,2385.82,866.712,28980.6,0.11969
4,2027,2434.35,792.623,28362.6,0.097137
4,2028,2816.87,811.837,28542,0.0859367
4,2029,3244.64,893.114,29615.8,0.0852029
5,2025,2525.08,1300,29863.1,0.174232
5,2026,2232.85,1081.51,28850.1,0.154305
5,2027,2226.39,949.841,27726.8,0.121492
5,2028,2581.15,960.441,27697.5,0.106465
5,2029,2978.01,1057.55,29023.2,0.106222
6,2025,2480.92,1625,29863.1,0.217232
6,2026,2083.96,1261.77,28704.5,0.186171
6,2027,2038.29,1068.26,26999.7,0.142367
6,2028,2377.8,1074.24,26753.9,0.124358
6,2029,2749.78,1189.64,28331.9,0.125562
7,2025,2434.19,1950,29863.1,0.259968
7,2026,1939.3,1409.16,28541.4,0.215237
7,2027,1868.59,1155.69,26182.9,0.160204
7,2028,2201.46,1164.22,25741.8,0.140459
7,2029,2550.58,1300.47,27582.7,0.144128
8,2025,2331.65,2600,29863.1,0.344536
8,2026,1663.25,1612.85,28149.8,0.264869
8,2027,1578.25,1265.43,24293.9,0.188885
8,2028,1910.85,1304.05,23617.6,0.17033
8,2029,2210.52,1482.81,26008.8,0.181541
